Clickthru	Groups
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
No	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
Yes	A
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
No	B
