Global.North.South	AI.Improve.Healthcare
1	Global North	Medium
2	Global North	Much
3	Global North	Much
4	Global North	Medium
5	Global North	Medium
6	Global North	Medium
7	Global North	Much
8	Global North	Little
9	Global North	Much
10	Global North	Much
11	Global North	Much
12	Global North	Very much
13	Global North	Little
14	Global North	Medium
15	Global North	Medium
16	Global North	Medium
17	Global North	Medium
18	Global North	Much
19	Global North	Little
20	Global North	Much
21	Global North	Little
22	Global North	Very much
23	Global North	Medium
24	Global North	Medium
25	Global North	Much
26	Global North	Much
27	Global North	Very much
28	Global North	Much
30	Global North	Much
31	Global North	Medium
32	Global North	Much
33	Global North	Medium
34	Global North	Little
35	Global North	Much
36	Global North	Medium
37	Global North	Much
38	Global North	Little
39	Global North	Medium
40	Global North	Little
42	Global North	Medium
43	Global North	Medium
44	Global North	Medium
45	Global North	Little
46	Global North	Medium
47	Global North	Much
49	Global North	Much
50	Global North	Medium
51	Global North	Very much
53	Global North	Much
54	Global North	Much
56	Global North	Much
57	Global North	Medium
58	Global North	Little
59	Global North	Very much
60	Global North	Medium
61	Global North	Much
62	Global North	Medium
63	Global North	Much
64	Global North	Medium
65	Global North	Medium
66	Global North	Medium
67	Global North	Much
68	Global North	Little
69	Global North	Medium
70	Global North	Very much
71	Global North	Much
72	Global North	Little
73	Global North	Medium
74	Global North	Medium
75	Global North	Medium
76	Global North	Much
77	Global North	Medium
78	Global North	Much
79	Global North	Medium
80	Global North	Medium
81	Global North	Medium
82	Global North	Much
83	Global North	Much
84	Global North	Much
85	Global North	Medium
86	Global North	Medium
87	Global North	Little
88	Global North	Medium
89	Global North	Medium
90	Global North	Little
91	Global North	Medium
92	Global North	Little
93	Global North	Much
94	Global North	Little
95	Global North	Medium
96	Global North	Little
97	Global North	Medium
98	Global North	Medium
99	Global North	Very much
100	Global North	Medium
101	Global North	Much
102	Global North	Medium
103	Global North	Very much
104	Global North	Much
105	Global North	Very much
106	Global North	Little
107	Global North	Little
108	Global North	Much
109	Global North	Medium
110	Global North	Little
111	Global North	Little
112	Global North	Very much
113	Global North	Medium
114	Global North	Medium
115	Global North	Little
116	Global North	Medium
117	Global North	Very much
118	Global North	Very little
119	Global North	Much
120	Global North	Little
121	Global North	Much
122	Global North	Much
123	Global North	Much
124	Global North	Medium
125	Global North	Medium
126	Global North	Medium
127	Global North	Medium
128	Global North	Very much
129	Global North	Medium
130	Global North	Much
131	Global North	Much
132	Global North	Medium
133	Global North	Much
134	Global North	Much
135	Global North	Medium
136	Global North	Medium
137	Global North	Very little
138	Global North	Much
139	Global North	Much
140	Global North	Much
141	Global North	Much
142	Global North	Much
143	Global North	Medium
144	Global North	Much
145	Global North	Much
146	Global North	Medium
147	Global North	Very much
148	Global North	Little
149	Global North	Much
150	Global North	Medium
151	Global North	Very much
152	Global North	Much
153	Global North	Little
154	Global North	Medium
155	Global North	Very much
156	Global North	Very much
157	Global North	Very little
158	Global North	Medium
159	Global North	Medium
160	Global North	Medium
161	Global North	Very much
162	Global North	Little
163	Global North	Much
164	Global North	Much
165	Global North	Little
166	Global North	Medium
167	Global North	Medium
168	Global North	Medium
170	Global North	Medium
171	Global North	Medium
172	Global North	Medium
174	Global North	Medium
175	Global North	Little
176	Global North	Medium
177	Global North	Medium
178	Global North	Medium
179	Global North	Medium
180	Global North	Little
181	Global North	Medium
182	Global North	Medium
183	Global North	Medium
184	Global North	Medium
185	Global North	Medium
186	Global North	Medium
187	Global North	Much
189	Global North	Little
190	Global North	Little
191	Global North	Much
192	Global North	Very much
193	Global North	Much
194	Global North	Much
195	Global North	Very much
196	Global North	Much
197	Global North	Medium
198	Global North	Very little
199	Global North	Medium
200	Global North	Medium
201	Global North	Medium
202	Global North	Medium
204	Global North	Much
205	Global North	Medium
206	Global North	Medium
208	Global North	Medium
209	Global North	Much
211	Global North	Much
212	Global North	Little
213	Global North	Medium
215	Global North	Much
216	Global North	Much
217	Global North	Very much
218	Global North	Much
219	Global North	Medium
221	Global North	Medium
222	Global North	Much
223	Global North	Medium
225	Global North	Medium
226	Global North	Little
227	Global North	Very little
228	Global North	Very much
229	Global North	Little
230	Global North	Medium
231	Global North	Very much
232	Global North	Medium
234	Global North	Very much
235	Global North	Medium
236	Global North	Medium
237	Global North	Medium
238	Global North	Much
239	Global North	Much
240	Global North	Medium
241	Global North	Much
242	Global North	Much
244	Global North	Little
245	Global North	Medium
246	Global North	Medium
247	Global North	Medium
248	Global North	Medium
249	Global North	Much
250	Global North	Medium
251	Global North	Much
252	Global North	Much
253	Global North	Very much
255	Global North	Much
256	Global North	Medium
257	Global North	Medium
258	Global North	Little
259	Global North	Medium
260	Global North	Medium
261	Global North	Much
262	Global North	Much
263	Global North	Medium
264	Global North	Medium
265	Global North	Medium
266	Global North	Medium
267	Global North	Medium
268	Global North	Much
269	Global North	Medium
272	Global North	Much
273	Global North	Much
274	Global North	Medium
275	Global North	Medium
276	Global North	Much
277	Global North	Much
278	Global North	Much
280	Global North	Medium
281	Global North	Little
282	Global North	Medium
283	Global North	Very little
284	Global North	Much
285	Global North	Medium
286	Global North	Much
287	Global North	Very much
288	Global North	Very little
289	Global North	Medium
290	Global North	Medium
291	Global North	Much
292	Global North	Much
293	Global North	Very much
294	Global North	Medium
295	Global North	Much
296	Global North	Medium
298	Global North	Medium
299	Global North	Much
300	Global North	Much
301	Global North	Medium
302	Global North	Medium
303	Global North	Medium
304	Global North	Little
305	Global North	Very much
306	Global North	Much
307	Global North	Little
308	Global North	Very much
309	Global North	Medium
310	Global North	Very much
311	Global North	Much
312	Global North	Little
314	Global North	Much
315	Global North	Much
316	Global North	Medium
317	Global North	Much
318	Global North	Medium
319	Global North	Much
321	Global North	Medium
322	Global North	Medium
323	Global North	Much
324	Global North	Medium
325	Global North	Much
326	Global North	Medium
327	Global North	Much
328	Global North	Medium
329	Global North	Much
330	Global North	Much
331	Global North	Medium
332	Global North	Medium
333	Global North	Much
334	Global North	Much
335	Global North	Medium
336	Global North	Medium
337	Global North	Medium
338	Global North	Much
339	Global North	Much
340	Global North	Much
341	Global North	Medium
342	Global North	Medium
344	Global North	Medium
345	Global North	Much
346	Global North	Much
347	Global North	Much
348	Global North	Medium
349	Global North	Much
350	Global North	Medium
351	Global North	Medium
352	Global North	Much
353	Global North	Much
354	Global North	Medium
355	Global North	Medium
356	Global North	Much
357	Global North	Medium
358	Global North	Much
359	Global North	Much
360	Global North	Medium
361	Global North	Much
362	Global North	Much
363	Global North	Little
364	Global North	Very little
365	Global North	Much
366	Global North	Medium
367	Global North	Medium
368	Global North	Medium
369	Global North	Medium
370	Global North	Much
371	Global North	Much
372	Global North	Little
373	Global North	Much
374	Global North	Medium
375	Global North	Very much
376	Global North	Medium
377	Global North	Much
378	Global North	Much
379	Global North	Very much
380	Global North	Medium
381	Global North	Much
382	Global North	Medium
383	Global North	Much
384	Global North	Little
385	Global North	Little
386	Global North	Medium
387	Global North	Much
389	Global North	Little
390	Global North	Much
391	Global North	Medium
392	Global North	Medium
393	Global North	Medium
394	Global North	Much
395	Global North	Little
396	Global North	Medium
397	Global North	Medium
398	Global North	Very much
399	Global North	Much
400	Global North	Medium
401	Global North	Much
402	Global North	Much
403	Global North	Medium
404	Global North	Medium
405	Global North	Medium
406	Global North	Medium
407	Global North	Very much
408	Global North	Medium
409	Global North	Medium
410	Global North	Very much
412	Global North	Much
413	Global North	Medium
414	Global North	Little
415	Global North	Medium
416	Global North	Little
417	Global North	Little
418	Global North	Little
420	Global North	Much
421	Global North	Medium
422	Global North	Medium
423	Global North	Medium
424	Global North	Medium
425	Global North	Medium
426	Global North	Medium
427	Global North	Medium
428	Global North	Medium
429	Global North	Medium
430	Global North	Much
431	Global North	Medium
432	Global North	Little
433	Global North	Very much
434	Global North	Medium
435	Global North	Much
436	Global North	Very much
437	Global North	Very much
438	Global North	Medium
439	Global North	Little
440	Global North	Medium
441	Global North	Much
442	Global North	Much
443	Global North	Very much
444	Global North	Much
445	Global North	Medium
446	Global North	Much
447	Global North	Much
448	Global North	Very much
449	Global North	Medium
450	Global North	Medium
451	Global North	Medium
452	Global North	Medium
453	Global North	Medium
454	Global North	Much
455	Global North	Much
456	Global North	Medium
457	Global North	Medium
458	Global North	Little
459	Global North	Little
460	Global North	Medium
461	Global North	Medium
462	Global North	Little
463	Global North	Very much
464	Global North	Medium
465	Global North	Much
466	Global North	Very much
467	Global North	Much
468	Global North	Medium
469	Global North	Much
470	Global North	Much
471	Global North	Medium
472	Global North	Very much
473	Global North	Much
474	Global North	Medium
475	Global North	Medium
476	Global North	Medium
477	Global North	Much
478	Global North	Much
479	Global North	Medium
480	Global North	Very much
481	Global North	Much
482	Global North	Medium
483	Global North	Very much
484	Global North	Little
485	Global North	Medium
486	Global North	Very much
487	Global North	Much
489	Global North	Little
490	Global North	Medium
491	Global North	Medium
492	Global North	Medium
493	Global North	Medium
494	Global North	Medium
495	Global North	Medium
497	Global North	Little
498	Global North	Very much
499	Global North	Medium
500	Global North	Much
501	Global North	Very little
503	Global North	Very much
504	Global North	Little
505	Global North	Medium
506	Global North	Medium
507	Global North	Medium
508	Global North	Very much
509	Global North	Medium
510	Global North	Much
511	Global North	Much
512	Global North	Medium
513	Global North	Medium
514	Global North	Medium
515	Global North	Very much
516	Global North	Much
517	Global North	Much
518	Global North	Much
519	Global North	Little
520	Global North	Very much
521	Global North	Much
522	Global North	Medium
523	Global North	Medium
524	Global North	Much
525	Global North	Much
526	Global North	Much
528	Global North	Medium
529	Global North	Much
530	Global North	Medium
531	Global North	Very much
532	Global North	Medium
533	Global North	Much
534	Global North	Much
535	Global North	Much
536	Global North	Medium
537	Global North	Medium
539	Global North	Little
540	Global North	Little
543	Global North	Medium
545	Global North	Medium
546	Global North	Medium
547	Global North	Medium
548	Global North	Medium
549	Global North	Medium
550	Global North	Medium
551	Global North	Much
552	Global North	Medium
553	Global North	Medium
554	Global North	Much
555	Global North	Very little
556	Global North	Medium
557	Global North	Medium
558	Global North	Much
559	Global North	Much
560	Global North	Much
561	Global North	Much
562	Global North	Medium
563	Global North	Medium
564	Global North	Little
565	Global North	Medium
566	Global North	Much
567	Global North	Little
568	Global North	Little
569	Global North	Little
570	Global North	Little
571	Global North	Much
572	Global North	Very much
573	Global North	Little
574	Global North	Very much
575	Global North	Much
576	Global North	Medium
577	Global North	Medium
578	Global North	Medium
579	Global North	Little
580	Global North	Medium
581	Global North	Medium
582	Global North	Much
583	Global North	Medium
584	Global North	Little
586	Global North	Medium
587	Global North	Medium
589	Global North	Medium
590	Global North	Much
591	Global North	Much
592	Global North	Medium
593	Global North	Medium
594	Global North	Little
595	Global North	Medium
596	Global North	Very little
597	Global North	Little
598	Global North	Much
599	Global North	Very much
600	Global North	Much
601	Global North	Medium
602	Global North	Much
