RespondentID	AgeYrs	Sex	NumHHChildren	LaborForceStatus	EmployedFTPT	MultipleJobs	TotalHrsWorked	WorkHoursVary	Industry	Occupation	EnrolledHSCollege	EnrolledFTPT	NonworkAloneMin	ChildcareMin	EldercareMin	FamilyMin	FriendsMin
20240101240005	29	Female	3	Employed - At Work	Full-time	No	40	No	Financial activities	Sales and office occupations	Not enrolled	NA	170	150	0	238	0
20240101240020	77	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	900	0	0	0	0
20240101240098	19	Male	3	Employed - At Work	Part-time	No	31	No	Wholesale and retail trade	Sales and office occupations	College	Part-time	326	0	0	15	0
20240101240107	23	Female	0	Employed - At Work	Full-time	No	41	No	Manufacturing	Management, professional, and related occupations	College	Full-time	150	0	0	1095	0
20240101240123	22	Female	1	Employed - At Work	Part-time	No	25	No	Transportation and utilities	Production, transportation, and material moving occupations	College	Full-time	357	307	0	320	0
20240101240143	21	Female	1	Employed - At Work	Full-time	No	40	No	Financial activities	Sales and office occupations	Not enrolled	NA	180	0	0	210	180
20240101240167	22	Female	0	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Sales and office occupations	Not enrolled	NA	60	0	0	571	0
20240101240176	22	Female	0	Employed - At Work	Part-time	Yes	NA	Yes	Other services	Service occupations	Not enrolled	NA	0	0	0	247	0
20240101240219	21	Male	0	Employed - At Work	Part-time	No	NA	Yes	Other services	Sales and office occupations	College	Full-time	22	0	0	0	723
20240101240237	24	Male	1	Employed - At Work	Part-time	No	25	No	Leisure and hospitality	Service occupations	Not enrolled	NA	404	0	0	255	0
20240101240295	24	Male	0	Employed - At Work	Full-time	No	40	No	Manufacturing	Management, professional, and related occupations	Not enrolled	NA	115	0	0	0	0
20240101240500	76	Female	1	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	344	120	489	0	0
20240101240512	51	Female	0	Employed - At Work	Full-time	No	48	No	Transportation and utilities	Sales and office occupations	NA	NA	760	0	0	0	0
20240101240519	78	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	110	0	0	715	0
20240101240533	38	Female	2	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Production, transportation, and material moving occupations	Not enrolled	NA	165	285	0	420	435
20240101240541	25	Male	0	Employed - At Work	Full-time	No	45	No	Transportation and utilities	Sales and office occupations	Not enrolled	NA	330	0	0	60	0
20240101240543	71	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	315	0	0	0	0
20240101240549	42	Female	2	Employed - At Work	Full-time	No	50	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	175	240	0	305	0
20240101240566	42	Female	0	Employed - At Work	Full-time	No	40	No	Public administration	Management, professional, and related occupations	Not enrolled	NA	315	0	0	0	0
20240101240571	26	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	College	Full-time	0	0	0	565	0
20240101240573	60	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	15	0	0	675	0
20240101240575	71	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	840	0	0	0	0
20240101240577	31	Female	2	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	0	525	0	780	0
20240101240622	85	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	750	0
20240101240656	71	Female	0	Employed - At Work	Full-time	No	NA	Yes	Professional and business services	Management, professional, and related occupations	NA	NA	55	0	0	30	0
20240101240658	77	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	730	0	0	230	0
20240101240660	85	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	570	0	0	360	210
20240101240678	25	Male	0	Employed - At Work	Part-time	No	NA	Yes	Financial activities	Production, transportation, and material moving occupations	College	Full-time	455	0	0	0	160
20240101240724	47	Male	0	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	535	0	0	0	0
20240101240738	80	Male	0	Employed - At Work	Full-time	No	NA	Yes	Agriculture, forestry, fishing, and hunting	Farming, fishing, and forestry occupations	NA	NA	90	0	0	405	0
20240101240750	50	Female	0	Employed - At Work	Full-time	Yes	48	No	Educational and health services	Management, professional, and related occupations	NA	NA	215	0	0	15	165
20240101240766	71	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	720	0	0	0	0
20240101240811	48	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	315	0	0	720	0
20240101240817	80	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	285	0	0	670	0
20240101240839	80	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	525	0	0	403	0
20240101240851	73	Female	0	Employed - At Work	Part-time	No	11	No	Educational and health services	Management, professional, and related occupations	NA	NA	618	0	0	0	0
20240101240865	61	Male	0	Employed - At Work	Full-time	No	40	No	Public administration	Sales and office occupations	NA	NA	210	0	0	0	0
20240101240875	45	Female	1	Employed - At Work	Full-time	No	35	No	Other services	Service occupations	Not enrolled	NA	380	0	0	15	220
20240101240876	74	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	135	0	0	825	0
20240101240880	78	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	350	0	0	435	0
20240101240896	37	Male	1	Employed - At Work	Full-time	No	45	No	Wholesale and retail trade	Sales and office occupations	Not enrolled	NA	151	700	0	594	0
20240101240904	63	Female	0	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	NA	NA	410	0	0	0	0
20240101240905	30	Male	1	Employed - At Work	Full-time	No	40	No	Construction	Construction and maintenance occupations	Not enrolled	NA	0	660	0	900	0
20240101240963	44	Male	2	Employed - At Work	Full-time	No	50	No	Manufacturing	Management, professional, and related occupations	Not enrolled	NA	430	60	0	560	0
20240101240987	73	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	960	0	0	0	0
20240101241018	27	Female	1	Employed - At Work	Full-time	No	40	No	Manufacturing	Management, professional, and related occupations	Not enrolled	NA	130	60	0	255	0
20240101241026	77	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	150	0	0	570	0
20240101241041	52	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	95	0	0	635	0
20240101241067	26	Female	0	Employed - At Work	Full-time	Yes	50	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	0	0	0	490	0
20240101241083	66	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	155	0	60	750	0
20240101241101	73	Male	0	Employed - At Work	Full-time	No	40	No	Financial activities	Service occupations	NA	NA	360	0	0	0	0
20240101241102	76	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	535	0	0	320	0
20240101241105	74	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	180	0	0	290	220
20240101241122	67	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	45	0	0	865	0
20240101241177	85	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	930	0	0	60	0
20240101241178	74	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	710	0	0	103	0
20240101241186	80	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	289	0	100	495	0
20240101241187	58	Female	0	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	NA	NA	420	0	220	0	0
20240101241197	69	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	432	0	0	222	0
20240101241199	71	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	130	0	0	660	0
20240101241205	68	Female	0	Employed - At Work	Full-time	No	NA	Yes	Leisure and hospitality	Management, professional, and related occupations	NA	NA	275	0	0	620	0
20240101241216	66	Male	0	Employed - At Work	Full-time	Yes	43	No	Educational and health services	Management, professional, and related occupations	NA	NA	259	0	0	50	0
20240101241240	85	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	620	0	0	0	85
20240101241253	43	Female	2	Employed - At Work	Full-time	No	40	No	Transportation and utilities	Management, professional, and related occupations	Not enrolled	NA	215	225	0	210	0
20240101241270	72	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	240	0	0	535	0
20240101241272	53	Male	0	Employed - At Work	Full-time	No	40	No	Information	Construction and maintenance occupations	NA	NA	69	0	0	278	0
20240101241291	47	Male	0	Employed - At Work	Full-time	No	40	No	Public administration	Construction and maintenance occupations	Not enrolled	NA	480	0	90	240	0
20240101241294	37	Female	2	Employed - At Work	Full-time	No	50	No	Public administration	Management, professional, and related occupations	Not enrolled	NA	0	720	0	750	0
20240101241316	37	Male	2	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	365	205	0	150	0
20240101241321	64	Male	0	Employed - At Work	Full-time	No	45	No	Leisure and hospitality	Service occupations	NA	NA	210	0	0	320	0
20240101241333	57	Female	0	Employed - At Work	Full-time	Yes	NA	Yes	Other services	Service occupations	NA	NA	690	0	0	150	0
20240101241337	78	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	720	0	0	150	0
20240101241366	70	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	295	0	0	568	0
20240101241373	67	Male	0	Employed - At Work	Part-time	No	10	No	Information	Management, professional, and related occupations	NA	NA	177	0	0	690	240
20240101241386	73	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	720	0	0	360	0
20240101241390	63	Male	0	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	NA	NA	198	0	0	402	0
20240101241399	47	Female	3	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	226	0	0	166	0
20240101241458	72	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	435	0	0	615	0
20240101241466	60	Male	1	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Sales and office occupations	NA	NA	310	0	0	650	60
20240101241480	41	Female	2	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Management, professional, and related occupations	Not enrolled	NA	185	220	0	120	0
20240101241486	67	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	140	0	0	750	0
20240101241516	28	Male	1	Employed - At Work	Full-time	No	40	No	Construction	Construction and maintenance occupations	Not enrolled	NA	138	27	0	237	0
20240101241534	75	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	805	0	0	0	0
20240101241559	70	Female	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Production, transportation, and material moving occupations	NA	NA	515	0	0	0	0
20240101241561	64	Female	0	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Sales and office occupations	NA	NA	572	0	0	215	0
20240101241568	80	Female	0	Employed - At Work	Part-time	No	1	No	Public administration	Sales and office occupations	NA	NA	661	0	0	0	60
