Year	Beer	Spirits	Wine
1970	3.150	2.473	0.513
1971	3.198	2.495	0.579
1972	3.229	2.517	0.628
1973	3.330	2.553	0.637
1974	3.443	2.566	0.632
1975	3.475	2.554	0.656
1976	3.467	2.523	0.661
1977	3.521	2.519	0.670
1978	3.587	2.540	0.702
1979	3.675	2.497	0.721
1980	3.734	2.473	0.770
1981	3.761	2.422	0.794
1982	3.718	2.310	0.799
1983	3.666	2.243	0.809
1984	3.585	2.182	0.826
1985	3.531	2.103	0.854
1986	3.556	1.953	0.869
1987	3.524	1.902	0.838
1988	3.498	1.820	0.794
1989	3.448	1.776	0.741
1990	3.497	1.769	0.725
1991	3.352	1.614	0.649
1992	3.337	1.608	0.652
1993	3.275	1.539	0.614
1994	3.228	1.485	0.612
1995	3.216	1.435	0.619
1996	3.201	1.435	0.652
1997	3.187	1.418	0.660
1998	3.191	1.410	0.661
1999	3.214	1.429	0.675
2000	3.219	1.463	0.683
2001	3.209	1.451	0.679
2002	3.205	1.471	0.708
2003	3.163	1.523	0.737
2004	3.158	1.542	0.757
2005	3.123	1.587	0.779
2006	3.125	1.623	0.804
2007	3.152	1.651	0.819
2008	3.123	1.664	0.824
2009	3.044	1.673	0.835
2010	2.959	1.686	0.829
2011	2.911	1.727	0.882
2012	2.929	1.770	0.911
2013	2.882	1.786	0.905
2014	2.823	1.801	0.915
2015	2.810	1.831	0.898
2016	2.784	1.873	0.931
2017	2.727	1.900	0.930
2018	2.700	1.949	0.930
2019	2.690	1.999	0.924
2020	2.685	2.136	0.938
2021	2.727	2.305	0.945
2022	2.615	2.368	0.904
