Team	TM	League	Won	Lost	BatAge	Runs.per.game	HR.per.game	AB	Runs	Hits	X2B	X3B	HR	RBI	StolenB	CaughtS	BB	SO	BAvg	OBP	SLG	OPS	TB	GDP	HBP	SH	SF	IBB	LOB	Rank	Home.Games	Home.Total.Att	Home.Avg.Att	Road.Games	Road.Avg.Att	Overall.Games	Overall.Avg.Att
Arizona Diamondbacks	ARI	NL	89	73	28.5	5.47	1.30246913580247	5522	886	1452	271	37	211	845	119	30	569	1265	0.263	0.337	0.44	0.777	2430	112	84	34	66	17	1111	18	81	2341876	28912	80	31039	161	29969
Atlanta Braves	ATL	NL	89	73	29.3	4.35	1.31481481481481	5481	704	1333	273	15	213	674	69	20	485	1461	0.243	0.309	0.415	0.724	2275	119	58	9	39	11	1088	5	80	3011765	37647	81	31196	161	34401
Baltimore Orioles	BAL	AL	91	71	26.9	4.85	1.45061728395062	5567	786	1391	262	33	235	759	98	25	489	1359	0.25	0.315	0.435	0.751	2424	71	64	6	45	14	1108	19	80	2281129	28514	81	29491	161	29005
Boston Red Sox	BOS	AL	81	81	27.3	4.64	1.19753086419753	5577	751	1404	311	30	194	724	144	44	493	1570	0.252	0.319	0.423	0.741	2357	110	73	7	40	30	1116	11	81	2659949	32838	81	29448	162	31143
Chicago Cubs	CHC	NL	83	79	27.8	4.54	1.04938271604938	5441	736	1318	253	29	170	696	143	30	546	1362	0.242	0.317	0.393	0.71	2139	89	70	17	41	19	1105	6	81	2909755	35922	81	31646	162	33784
Chicago White Sox	CHW	AL	41	121	27.8	3.13	0.820987654320988	5383	507	1187	226	9	133	485	90	33	395	1403	0.221	0.278	0.34	0.618	1830	116	43	18	27	8	1014	27	77	1380733	17931	81	28360	158	23277
Cincinnati Reds	CIN	NL	77	85	27.1	4.31	1.07407407407407	5325	699	1230	257	29	174	663	207	45	496	1459	0.231	0.305	0.388	0.693	2067	86	87	18	43	7	989	21	81	2024178	24989	81	29862	162	27426
Cleveland Indians	CLE	AL	92	69	26.1	4.4	1.14906832298137	5310	708	1263	245	18	185	670	148	46	466	1196	0.238	0.307	0.395	0.703	2099	111	87	17	43	30	978	20	79	2056264	26028	81	27310	160	26677
Colorado Rockies	COL	NL	61	101	27.9	4.21	1.10493827160494	5454	682	1319	277	25	179	655	85	31	453	1617	0.242	0.304	0.4	0.704	2183	126	51	19	45	20	1028	15	81	2540295	31361	80	28878	161	30127
Detroit Tigers	DET	AL	86	76	26.7	4.21	1	5442	682	1273	244	47	162	656	76	24	476	1461	0.234	0.3	0.385	0.685	2097	90	52	4	41	12	1045	24	78	1858295	23824	80	27497	158	25683
Houston Astros	HOU	AL	88	73	28.8	4.6	1.18012422360248	5530	740	1448	264	16	190	701	93	24	448	1176	0.262	0.322	0.418	0.741	2314	132	67	12	46	28	1113	8	81	2835234	35002	80	28240	161	31642
Kansas City Royals	KCR	AL	86	76	28	4.54	1.04938271604938	5421	735	1343	264	35	170	711	134	31	429	1161	0.248	0.306	0.403	0.71	2187	95	52	23	54	22	990	26	81	1658337	20473	80	25830	161	23135
Los Angeles Angels	LAA	AL	63	99	27.3	3.92	1.01851851851852	5357	635	1227	227	15	165	596	133	50	482	1416	0.229	0.301	0.369	0.671	1979	116	86	12	35	4	1015	13	81	2577597	31822	80	25367	161	28615
Los Angeles Dodgers	LAD	NL	98	64	30.3	5.2	1.43827160493827	5522	842	1423	291	26	233	815	136	23	602	1336	0.258	0.335	0.446	0.781	2465	99	64	10	51	33	1143	1	81	3941251	48657	80	36253	161	42493
Miami Marlins	MIA	NL	62	100	27.2	3.93	0.925925925925926	5522	637	1347	243	23	150	611	125	43	403	1410	0.244	0.3	0.378	0.678	2086	119	55	24	41	16	1059	29	81	1087453	13425	81	29027	162	21226
Milwaukee Brewers	MIL	NL	93	69	26.4	4.8	1.09259259259259	5472	777	1359	249	33	177	742	217	42	597	1459	0.248	0.326	0.403	0.729	2205	97	46	15	34	19	1113	16	81	2537202	31323	81	28470	162	29897
Minnesota Twins	MIN	AL	82	80	28.7	4.58	1.12962962962963	5490	742	1352	309	23	183	702	65	23	473	1306	0.246	0.315	0.411	0.726	2256	115	101	10	47	15	1087	23	81	1951616	24094	79	26343	160	25204
NY Mets	NYM	NL	89	73	30	4.74	1.27777777777778	5510	768	1357	279	15	207	735	106	22	514	1382	0.246	0.319	0.415	0.734	2287	105	92	10	36	11	1110	17	79	2329299	29484	80	30771	159	30132
NY Yankees	NYY	AL	94	68	28	5.03	1.46296296296296	5450	815	1352	243	15	237	782	88	26	672	1326	0.248	0.333	0.429	0.761	2336	138	49	14	57	26	1141	2	79	3309838	41896	81	32569	160	37174
Oakland Athletics	OAK	AL	69	93	26.5	3.97	1.20987654320988	5432	643	1267	240	19	196	619	98	26	493	1502	0.233	0.301	0.393	0.694	2133	105	53	19	37	11	1073	30	80	922286	11528	81	30228	161	20936
Philadelphia Phillies	PHI	NL	95	67	29.1	4.84	1.22222222222222	5534	784	1423	285	24	198	750	148	30	515	1370	0.257	0.325	0.425	0.75	2350	107	62	13	40	21	1115	3	81	3363712	41527	81	31911	162	36719
Pittsburgh Pirates	PIT	NL	76	86	28.5	4.1	0.987654320987654	5477	665	1283	236	17	160	643	106	19	485	1506	0.234	0.301	0.371	0.672	2033	100	60	16	47	14	1112	25	81	1720361	21239	80	31057	161	26117
San Diego Padres	SDP	NL	93	69	29	4.69	1.17283950617284	5526	760	1456	259	18	190	726	120	28	458	1077	0.263	0.324	0.42	0.745	2321	133	56	28	31	18	1068	4	81	3330545	41117	81	31243	162	36180
Seattle Mariners	SEA	AL	80	82	28.9	4.17	1.14197530864198	5330	676	1195	228	13	185	642	140	28	571	1625	0.224	0.311	0.376	0.687	2004	106	116	14	34	14	1117	10	80	2647736	33096	80	31335	160	32216
San Francisco Giants	SFG	NL	85	77	28.6	4.28	1.09259259259259	5460	693	1303	266	30	177	661	68	22	492	1452	0.239	0.305	0.396	0.701	2160	115	52	10	47	15	1075	14	81	2555813	31553	81	27259	162	29406
St Louis Cardinals	STL	NL	83	79	27.6	4.15	1.01851851851852	5507	672	1363	257	21	165	639	91	29	478	1318	0.248	0.312	0.392	0.703	2157	91	56	17	47	10	1149	7	80	2869783	35872	80	29509	160	32690
Tampa Bay Rays	TBR	AL	80	82	27.2	3.73	0.907407407407407	5389	604	1241	245	23	147	564	178	53	493	1485	0.23	0.302	0.366	0.669	1973	87	78	10	32	15	1099	28	81	1337739	16515	81	29891	162	23203
