Year	CPI	Player	Salary.in.Nominal..	Salary.in.2024.
1874	11.4	Fergus Malone (Chi NA)	2800	77000
1875	11	Rich Higham (Chi NL)	2200	62700
1876	10.7	Al Spalding (Chi NL)	4000	117196.261682243
1877	10.5	Al Spalding (Chi NL)	2900	86585.7142857143
1878	10	Bob Ferguson (Chi NL)	3700	115995
1879	10	Frank Flint (Chi NL)	1800	56430
1880	10.2	Adrian Anson (Chi NL)	1800	55323.5294117647
1881	10.2	Jim O’Rourke (Buf NL)	2000	61470.5882352941
1882	10.2	Monte Ward (Prov NL)	2400	73764.705882353
1883	10.1	Buck Ewing (NY NL)	3100	96222.7722772277
1884	9.8	Buck Ewing (NY NL)	3100	99168.3673469388
1885	9.7	Jim O’Rourke (NY NL)	4500	145438.144329897
1886	9.4	Fred Dunlap (StL/Det NL)	4500	150079.787234043
1887	9.5	Fred Dunlap (Det NL)	4500	148500
1888	9.5	Fred Dunlap (Pit NL)	5000	165000
1889	9.2	Fred Dunlap (Pit NL)	5000	170380.434782609
1890	9.1	Hardy Richardson (Bos PL)	4000	137802.197802198
1891	9.1	Paul Cook (Lou/StL AA)	2000	68901.0989010989
1892	9.1	Joe Gunson (Bal NL)	2800	96461.5384615385
1895	8.4	Jack Glasscock (Lou/Was NL)	2400	89571.4285714286
1899	8.3	Victor Willis (Bos NL)	1800	67987.9518072289
1904	8.9	Joe McGinnity (NY NL)	5000	176123.595505618
1906	9	Nap Lajoie (Cle AL)	8500	296083.333333333
1907	9.4	Nap Lajoie (Cle AL)	8500	283484.042553191
1908	9.2	Nap Lajoie (Cle AL)	8500	289646.739130435
1909	9.1	Nap Lajoie (Cle AL)	9000	310054.945054945
1910	9.5	Ty Cobb (Det AL)	9000	297000
1911	9.5	Ty Cobb (Det AL)	9000	297000
1912	9.7	Roger Bresnahan (StL NL)	10000	323195.87628866
1913	9.9	Fred Clarke (Pit NL)	15000	475000
1914	10	Ty Cobb (Det AL)	15000	470250
1915	10.1	Fred Clarke (Pit NL)	15050	467146.03960396
1916	10.9	Ty Cobb (Det AL)	20000	575229.357798165
1917	12.8	Ty Cobb (Det AL)	20000	489843.75
1918	15.1	Ty Cobb (Det AL)	20000	415231.78807947
1919	17.3	Ty Cobb (Det AL)	20000	362427.74566474
1920	20	Ty Cobb (Det AL)	20000	313500
1921	17.9	Ty Cobb (Det AL)	25000	437849.162011173
1922	16.8	Babe Ruth (NY AL)	52000	970357.142857143
1923	17.1	Babe Ruth (NY AL)	52000	953333.333333333
1924	17.1	Babe Ruth (NY AL)	52000	953333.333333333
1925	17.5	Babe Ruth (NY AL)	52000	931542.857142857
1926	17.7	Babe Ruth (NY AL)	52000	921016.949152542
1927	17.4	Babe Ruth (NY AL)	70000	1261206.89655172
1928	17.1	Babe Ruth (NY AL)	70000	1283333.33333333
1929	17.1	Babe Ruth (NY AL)	70000	1283333.33333333
1930	16.7	Babe Ruth (NY AL)	80000	1501796.40718563
1931	15.2	Babe Ruth (NY AL)	80000	1650000
1932	13.7	Babe Ruth (NY AL)	75000	1716240.87591241
1933	13	Babe Ruth (NY AL)	52000	1254000
1934	13.4	Babe Ruth (NY AL)	35000	818843.28358209
1935	13.7	Lou Gehrig (NY AL)	31000	709379.562043796
1936	13.9	Mickey Cochrane (Det AL)	36000	811942.446043165
1937	14.4	Mickey Cochrane (Det AL)	36000	783750
1938	14.1	Lou Gehrig (NY AL)	39000	867127.659574468
1939	13.9	Lou Gehrig (NY AL)	35000	789388.489208633
1940	14	Hank Greenberg (Det AL)	35000	783750
1941	14.7	Hank Greenberg (Det AL)	55000	1172959.18367347
1942	16.3	Joe DiMaggio (NY AL)	43750	841449.386503067
1943	17.3	Joe Cronin (Bos AL)	27000	489277.456647399
1944	17.6	Joe Cronin (Bos AL)	27000	480937.5
1945	18	Lou Boudreau (Cle AL)	25000	435416.666666667
1946	19.5	Hank Greenberg (Det AL)	55000	884230.769230769
1947	22.3	Hal Newhouser (Det AL)	70000	984080.717488789
1948	24.1	Joe DiMaggio (NY AL)	65000	845539.419087137
1949	23.8	Joe DiMaggio (NY AL)	100000	1317226.8907563
1950	24.1	Joe DiMaggio (NY AL)	100000	1300829.87551867
1951	26	Joe DiMaggio (NY AL)	90000	1085192.30769231
1952	26.5	Ted Williams (Bos AL)	85000	1005566.03773585
1953	26.7	Ted Williams (Bos AL)	85000	998033.707865169
1954	26.9	Ted Williams (Bos AL)	85000	990613.382899628
1955	26.8	Ted Williams (Bos AL)	67500	789598.880597015
1956	27.2	Yogi Berra (NY AL)	58000	668492.647058823
1957	28.1	Yogi Berra (NY AL)	65000	725177.93594306
1958	28.9	Mickey Mantle (NY AL)	65000	705103.806228374
1959	29.1	Willie Mays (SF NL)	75000	807989.69072165
1960	29.6	Willie Mays (SF NL)	80000	847297.297297297
1961	29.9	Willie Mays (SF NL)	85000	891220.735785953
