Ticker	Company	Med.Worker.Pay	Pay.Ratio	CEO.Pay.M	mid68
ROST	Ross Stores, Inc.	8618	2100	18.0978	1
KO	Coca Cola Co.	13752	1799	24.739848	1
CHTR	Charter Communications, Inc.	54476	1635	89.06826	0
APTV	Aptiv PLC	11647	1545	17.994615	1
ACN	Accenture PLC	20670	1526	31.54242	1
TJX	Tjx Companies Inc.	14857	1496	22.226072	1
CMG	Chipotle Mexican Grill Inc.	16595	1354	22.46963	1
ALGN	Align Technology Inc.	22781	1271	28.954651	1
ON	ON Semiconductor Corp.	141397	1268	179.2914	0
MCD	Mcdonalds Corp.	15802	1212	19.152024	1
YUM	Yum Brands Inc.	17628	1205	21.24174	1
BBWI	Bath & Body Works, Inc.	9834	1189	11.692626	1
JBL	Jabil Inc.	8804	1163	10.239052	1
SBUX	Starbucks Corp.	14209	1028	14.606852	1
WMT	Walmart Inc.	27642	976	26.978592	1
NKE	Nike, Inc.	33646	975	32.80485	1
ULTA	Ulta Beauty, Inc.	13193	960	12.66528	1
WDC	Western Digital Corp.	11519	958	11.035202	1
RCL	Royal Caribbean Cruises Ltd.	18073	953	17.223569	1
STX	Seagate Technology Holdings PLC	12065	948	11.43762	1
LULU	Lululemon Athletica Inc.	19518	845	16.49271	1
LYV	Live Nation Entertainment, Inc.	28207	831	23.440017	1
CCL	Carnival Corp.	16789	822	13.800558	1
PANW	Palo Alto Networks Inc.	206035	735	151.43572	0
TGT	Target Corp.	26696	719	19.194424	1
AZO	Autozone Inc.	26669	705	18.801645	1
AXP	American Express Co.	52680	677	35.66436	0
AAPL	Apple Inc.	94118	672	63.247296	0
BG	Bunge Global SA	85513	655	56.011015	0
FICO	Fair Isaac Corp.	101674	653	66.393122	0
PEP	Pepsico Inc.	52356	648	33.926688	0
APH	Amphenol Corp.	16944	646	10.945824	1
EL	Estee Lauder Companies Inc.	33819	645	21.813255	1
MDLZ	Mondelez International, Inc.	33093	635	21.014055	1
DIS	Walt Disney Co.	54010	595	32.13595	1
TEL	TE Connectivity Ltd.	28447	588	16.726836	1
CHRW	C. H. Robinson Worldwide, Inc.	60720	572	34.73184	0
CZR	Caesars Entertainment, Inc.	33250	560	18.62	1
LOW	Lowes Companies Inc.	32626	557	18.172682	1
CTSH	Cognizant Technology Solutions Corp.	40660	556	22.60696	1
HLT	Hilton Worldwide Holdings Inc.	48435	549	26.590815	1
LVS	Las Vegas Sands Corp.	41185	533	21.951605	1
SWKS	Skyworks Solutions, Inc.	32457	532	17.267124	1
ADI	Analog Devices Inc.	48425	527	25.519975	1
TMUS	T-Mobile US, Inc.	72004	521	37.514084	0
DG	Dollar General Corp.	18657	521	9.720297	1
TSCO	Tractor Supply Co	22152	513	11.363976	1
AVGO	Broadcom Inc.	317199	510	161.77149	0
MAR	Marriott International Inc.	44805	506	22.67133	1
BKNG	Booking Holdings Inc.	92967	503	46.762401	0
KR	Kroger Co.	31302	502	15.713604	1
TPR	Tapestry, Inc.	29535	491	14.501685	1
BWA	Borgwarner Inc.	39380	490	19.2962	1
BX	Blackstone Inc.	245000	489	119.805	0
VTRS	Viatris Inc.	36903	469	17.307507	1
AAL	American Airlines Group Inc.	67788	464	31.453632	1
RL	Ralph Lauren Corp.	31187	464	14.470768	1
MU	Micron Technology Inc.	54570	463	25.26591	1
STZ	Constellation Brands, Inc.	34821	461	16.052481	1
CB	Chubb Ltd.	61188	452	27.656976	1
SPGI	S&P Global Inc.	43834	445	19.50613	1
FIS	Fidelity National Information Services, Inc.	43839	443	19.420677	1
BBY	Best Buy CO Inc.	32656	442	14.433952	1
ROP	Roper Technologies Inc.	93861	440	41.29884	0
UPS	United Parcel Service Inc.	53669	436	23.399684	1
CAT	Caterpillar Inc.	59528	434	25.835152	1
TDG	Transdigm Group Inc.	58034	411	23.851974	1
HD	Home Depot, Inc.	35131	410	14.40371	1
BDX	Becton Dickinson & Co.	42404	408	17.300832	1
WBA	Walgreens Boots Alliance, Inc.	34763	407	14.148541	1
ETN	Eaton Corp PLC	50683	405	20.526615	1
AVY	Avery Dennison Corp.	15679	403	6.318637	1
PLD	Prologis, Inc.	127272	400	50.9088	0
CMCSA	Comcast Corp.	0	398	0	0
CVS	CVS Health Corp.	55237	392	21.652904	1
LIN	Linde PLC	49230	390	19.1997	1
ANTM	Elevance Health, Inc.	56229	389	21.873081	1
SHW	Sherwin Williams Co.	49745	388	19.30106	1
EMR	Emerson Electric Co.	47840	383	18.32272	1
OMC	Omnicom Group Inc.	52691	382	20.127962	1
OMC	Omnicom Group Inc.	52691	382	20.127962	1
NCLH	Norwegian Cruise Line Holdings Ltd.	23330	380	8.8654	1
FISV	Fiserv Inc.	73645	380	27.9851	1
PYPL	Paypal Holdings, Inc.	94167	375	35.312625	0
MGM	Mgm Resorts International	45502	374	17.017748	1
IRM	Iron Mountain Inc.	40174	371	14.904554	1
GLW	Corning	42240	370	15.6288	1
PM	Philip Morris International Inc.	60974	369	22.499406	1
JPM	J.P. Morgan Chase & Co.	95988	366	35.131608	0
C	Citigroup Inc.	70731	360	25.46316	1
HSY	Hershey Co.	43527	360	15.66972	1
TT	Trane Technologies PLC	64148	356	22.836688	1
MOS	Mosaic Co.	33404	356	11.891824	1
HCA	Hca Healthcare, Inc.	59816	356	21.294496	1
