Name	Park	Inversions	Duration	Track	Speed	Height	Drop	Length
1066	Festyland	0	60	Steel	40.4	65.6	55.8	1312.3
Abismo	Parque de Atracciones de Madrid	2	60	Steel	65.2	151.6	160.8	1476.4
Abyss	Adventure World	3	120	Steel	52.8	98.4	100	2066.9
Abyssus	Energylandia	3	120	Steel	59	131.2	131.2	3478
Acrobat	Nagashima Spa Land	4	180	Steel	55.9	141.1	141	3349.8
Adventure Express	Kings Island	0	140	Steel	35	63	47	2963
Afterburn	Carowinds	6	167	Steel	62	113	113	2956
Aladdin Coaster	Sinbad Land	0	135	Steel	29.1	42.7	42.7	1377.9
Alap Alap	Dunia Fantasi	0	58	Steel	19.9	19.7	20	652.9
AlpenFury	Canada's Wonderland	7	80	Steel	71.5	164	154.2	3280.8
Alpengeist	Busch Gardens Williamsburg	6	190	Steel	67	195	170	3828
American Eagle	Six Flags Great America	0	143	Wood	66	127	147	4650
Anaconda	Gold Reef City	5	100	Steel	55.9	111.6	160.8	2447.5
Anaconda	Luna Park Tel Aviv	3	108	Steel	47	116.5	116	935
Anaconda	Kings Dominion	6	180	Steel	50	128	144	2700
Apocalypse	Six Flags Magic Mountain	0	120	Wood	50	105	100	2900
Apocalypse the Ride	Six Flags Magic Mountain	0	180	Wood	50.1	95	87.3	2877
Apollo's Chariot	Busch Gardens Williamsburg	0	135	Steel	73	170	210	4882
Arashi	Nagashima Spa Land	0	60	Steel	38	120	54	1019
ArieForce One	Fun Spot America Atlanta	4	100	Steel	64	155	146	3400
Arthur - The Ride	Europa Park	2	180	Steel	26.1	54.1	54	3020
Astro Storm	Brean Theme Park	0	90	Steel	40	59	59	1476.4
Atlantica SuperSplash	Europa Park	0	200	Steel	49.7	98.4	98	1279.5
Atlantis Adventure	Lotte World Adventure	0	108	Steel	46.6	72.2	72.2	2198.1
AtmosFear	Liseberg	0	120	Steel	80	256	256	1180
Aurora	Hossoland	0	63	Steel	34.2	65.6	66	1295.9
Avengers Assemble: Flight Force	Disneyland Paris - Walt Disney Studios Park	3	70	Steel	57	80	80	3267.7
Backlot Stunt Coaster	Canada's Wonderland	0	64	Steel	40	45.2	31.2	1960
Backlot Stunt Coaster	Kings Dominion	0	120	Steel	40	50	50	1960
Balagos	Avonturenpark Hellendoorn	2	68	Steel	37.3	82	82	1509.2
Balder	Liseberg	0	128	Wood	55.9	118.1	100	3510.5
Bandit	Movie Park Germany	0	90	Wood	49.7	91.2	81.7	3605.7
Bandit	Yomiuriland	0	138	Steel	68.4	167.3	256	5118.1
Banshee	Kings Island	7	160	Steel	68	167	150	4124
Barnstormer	Walt Disney World - Magic Kingdom	0	60	Steel	25	30	25	794
Baron 1898	Efteling	2	130	Steel	55.9	98.4	123	1643.7
Bat	Canada's Wonderland	3	108	Steel	47	116.5	116	935
Bat	Kings Island	0	112	Steel	51	78	70	2352
Bat	Lagoon	0	90	Steel	26	48.6	49	1122
Batgirl Batarang	Six Flags Mexico	3	108	Steel	47	116.5	125	935
Batman - The Dark Knight	Six Flags New England	5	140	Steel	55	117.8	117	2600
Batman Gotham City Escape	Parque Warner Madrid	4	111	Steel	64	147.6	147	3313.6
Batman The Ride	Six Flags Great Adventure	5	90	Steel	50	105	80	2693
Batman The Ride	Six Flags Great America	5	120	Steel	50	100	85	2700
Batman The Ride	Six Flags Magic Mountain	5	120	Steel	50	105	85	2700
Batman The Ride	Six Flags St. Louis	5	120	Steel	50	105	85	2693
Battle of Blue Fire	Quancheng Euro Park	4	150	Steel	62.1	124.7	125	3464.5
Battlestar Galactica	Universal Studios Singapore	5	90	Steel	55.9	140.1	140	3185.7
Bear Coaster	Higashiyama Zoo and Botanical Gardens	0	80	Steel	15.5	15.9	16	479
Beast	Kings Island	0	250	Wood	64.8	110	141	7361
Behemoth	Canada's Wonderland	0	180	Steel	77	230	226	5318
Big Apple Coaster	New York, New York Hotel & Casino	2	160	Steel	67	203	144	4777
Big Bad John	Magic Springs Theme and Water Park	0	180	Steel	37	32	41	2349
Big Bang	Freizeitpark Familienland	0	38	Steel	40.4	72.2	72	1738.8
Big Boom	Nasu Highland Park	1	184	Steel	54.7	126	95	2132.6
Big One	Pleasure Beach Resort	0	180	Steel	74	213	205	5497
Big Thunder Mountain	Disneyland Paris - Disneyland Park	0	236	Steel	40.4	72.2	39.3	3953.4
Bizarro	Six Flags Great Adventure	5	170	Steel	61	137	125	3985
Black Hole 2000	Seoul Land	2	165	Steel	52.8	113.8	114	3195.5
Black Mamba	Phantasialand	4	60	Steel	49.7	85.3	88.6	2519.7
Blue Hawk	Six Flags Over Georgia	5	80	Steel	52	122	122	2739.5
Blue Streak	Cedar Point	0	105	Wood	40	78	72	2558
Blue Tornado	Gardaland	5	102	Steel	49.7	109.3	109	2509.8
Boardwalk Bullet	Kemah Boardwalk	0	105	Wood	51	96	92	3236
Bob Express	Bobbejaanland	0	150	Steel	22.4	32.8	33	1709.3
Bobbahn	Heide Park Resort	0	100	Steel	32.9	88.6	88.6	3248
Boomerang	Family Fun	3	108	Steel	47	116.5	116	935
Boomerang	Six Flags Darien Lake	3	108	Steel	47	116.5	125	935
Boomerang-Roller Coaster	Al-Shallal Theme Park	3	108	Steel	47	116.5	116	935
Boulder Dash	Lake Compounce	0	150	Wood	60	115	115	4725
Bravely Traversing Tresure Island	Dinosaur Town	5	110	Steel	55	113.8	114	2329.4
