Country	Lifetime.Cannabis	Current.Cannabis	Lifetime.OtherDrugs	Lifetime.Alcohol	Current.Alcohol	Heavy.Episodic.Alcohol	Lifetime.Smoking	Current.Smoking	Daily.Smoking	Gambling.PastYear	Good.Mental.Health
Austria	17.34	6.08	5.14	83.18	60.19	47.74	54.96	33.66	13.64	12.56	53.45
Bulgaria	10.61	4.38	5.26	76.84	45.71	35.86	52.71	39.72	25.08	21.63	55.64
Croatia	14.8	6.54	5.33	89.1	55.61	42.1	56.6	43.63	24.43	22.63	62.42
Cyprus	8.16	5.41	9.93	68.49	43.54	36.84	36.18	23.03	15.13	25.98	48.59
Czechia	23.85	8.24	5.38	89.46	56.18	37.78	57.24	37.11	16.74	27.42	46.25
Denmark	12.04	3.53	3.37	89.89	68.31	55.02	42.91	23.59	8.75	14.04	71.91
Estonia	17.51	5.43	6.76	76.95	29.98	24.45	55.89	27.9	12.73	24.89	55.36
Faroes	5.07	1.49	2.67	66.08	26.67	27.89	44.51	18.4	5.04	24.37	76.92
Finland	9.33	3.31	2.83	64.05	27.17	19.58	41.98	24.08	11.69	11.67	67.58
France	8.44	4.34	3.87	70.05	39.61	22.16	39.32	17.7	7.12	NA	67.57
Georgia	3.33	1.38	1.68	82.88	48.73	41.42	44.42	21.66	9.51	9.47	67.94
Germany	17.39	6.77	4.7	86.76	61.83	48.66	49.21	31.3	13.98	15.91	55.93
Greece	11.49	6.23	4.82	86.68	59.07	36.56	53.55	36.38	18.53	35.96	57.6
Hungary	14.79	6.48	6.83	90.82	57.76	42.4	61.37	42.93	25.22	28.69	46.84
Iceland	7.76	3.22	7.86	47.68	12.16	8.87	30.38	13.52	5.48	41.19	74.63
Ireland	11.84	4.92	3.6	67.02	35.12	23.22	34.2	18.09	7.5	29.06	59.85
Italy	17.72	8.65	5.77	81.17	53.14	25.56	49.48	32.55	15.4	44.79	49.63
Kosovo	5.74	3.39	4.61	22.54	13.85	15.53	52.82	42.78	17.42	23.91	65.41
Latvia	15.65	4.44	5.5	83.8	30.31	20.57	52.39	28.36	11.78	28.93	54.89
Liechtenstein	23.03	9.64	5.39	78.48	50	37.65	53.89	35.33	16.17	25.5	61.21
Lithuania	11.16	2.95	4.48	77.3	23.54	20.81	52.87	26.97	11.3	20.46	55.3
Malta	11.48	4.64	3.34	79.22	37.07	29.26	27.67	14.62	6.18	16.21	51.4
Moldova	2.48	1.1	2.44	71.17	44.34	38.52	45.76	23.1	9.22	16.1	61.04
Monaco	11.08	4.26	2.34	81.77	42.55	22.88	45.2	25.76	11.48	14.88	55.53
Montenegro	9.63	4.9	7.55	70.64	41.01	22.63	37.17	23.45	13.37	28.06	65.59
Netherlands	15.29	8.08	3.79	67.1	40.48	27.49	40.93	24.95	11.17	NA	63.79
North Macedonia	5.53	2.55	2.45	62	37.44	33.27	40.9	28.75	13.6	24.71	70.8
Norway	10.33	3.82	5.7	56.41	31.9	22.39	40.92	13	2.97	NA	67.66
Poland	15.45	6.89	6.44	72.86	36.61	28.93	56.91	39.02	21.59	28.14	48.53
Portugal	8.64	4.76	3	61.76	36.84	23.93	27.52	14.65	6.32	17.26	53.66
Romania	4.86	1.42	3.06	79.78	50.47	34.38	56.42	36.99	19.96	24.62	62.99
Serbia	6.22	2.79	3.21	80.34	56.94	36.96	53.72	42.51	22.38	18.92	62.21
Slovakia	19.22	6.77	7.47	86.3	46.33	37.92	59.82	40.25	18.54	23.11	54.6
Slovenia	18.34	8.57	6.41	85.18	52.68	37.95	50.25	36.21	18.43	18.73	51.63
Spain	9.18	3.85	3.1	72.18	38.45	27.84	50.78	29.8	9.34	17.48	60.25
Sweden	6.53	2.26	4.9	58.37	24.2	17.91	43.96	22.41	5.96	10.51	62.36
Ukraine	10.45	5.06	7.1	82.13	40.67	19.77	42.8	27.7	13.84	21.03	43.25
