Year	Month	Onetime.Arrivals	Ontime.pct	Arrival.Delays	Delayed.pct	Flights.Cancelled	Cancelled.Pct	Diverted	Flight.Operations	Groups
1994	January	298679	70.47	102894	24.28	20595	4.86	1693	423861	y
1994.083333	February	285691	73.83	82899	21.42	16927	4.37	1437	386954	y
1994.166667	March	359579	82.56	69869	16.04	5207	1.2	861	435516	y
1994.25	April	349540	83.03	68154	16.19	2469	0.59	832	420995	y
1994.333333	May	382448	87.63	51653	11.84	1680	0.38	651	436432	y
1994.416667	June	348739	81.77	73902	17.33	2685	0.63	1164	426490	y
1994.5	July	352562	79.45	86079	19.4	3812	0.86	1283	443736	y
1994.583333	August	377805	83.75	69738	15.46	2427	0.54	1116	451086	y
1994.666667	September	378949	87.95	49619	11.52	1747	0.41	546	430861	y
1994.75	October	386128	85.93	60334	13.43	2192	0.49	715	449369	y
1994.833333	November	345798	80.75	78920	18.43	2661	0.62	848	428227	y
1994.916667	December	353876	79.25	87347	19.56	4338	0.97	960	446521	y
1995	January	343248	73.83	106076	22.82	14261	3.07	1348	464933	y
1995.083333	February	330086	78.91	77518	18.53	9954	2.38	754	418312	y
1995.166667	March	365962	79.3	87450	18.95	7352	1.59	739	461503	y
1995.25	April	358610	81.3	75886	17.2	5841	1.32	737	441074	y
1995.333333	May	361709	80.68	79394	17.71	6417	1.43	821	448341	y
1995.416667	June	333704	75.94	98995	22.53	5800	1.32	924	439423	y
1995.5	July	360250	80.08	82721	18.39	5823	1.29	1062	449856	y
1995.583333	August	365274	79.85	83551	18.27	7608	1.66	990	457423	y
1995.666667	September	367820	85.58	56496	13.15	4998	1.16	460	429774	y
1995.75	October	367789	82.09	74648	16.66	4891	1.09	689	448017	y
1995.833333	November	332491	77.85	87507	20.49	6280	1.47	813	427091	y
1995.916667	December	298845	67.66	129008	29.21	12680	2.87	1155	441688	y
1996	January	280274	62.67	135407	30.28	29595	6.62	1948	447224	y
1996.083333	February	302186	71.9	102123	24.3	14587	3.47	1369	420265	y
1996.166667	March	341394	75.94	98320	21.87	8923	1.98	932	449569	y
1996.25	April	349598	80.18	80139	18.38	5522	1.27	748	436007	y
1996.333333	May	354283	78.92	86618	19.29	7044	1.57	978	448923	y
