Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Guzzler	Displacement	Cylinders	Transmission	Gears	CityCO2	HighwayCO2	CombinedCO2
2026	BMW	BMW	228 Gran Coupe	2-Wheel Drive, Front	27	39	31		2	4	Auto(AM-S7)	7	323	225	279
2026	BMW	BMW	228 xDrive Gran Coupe	All Wheel Drive	26	38	30		2	4	Auto(AM-S7)	7	333	233	288
2026	BMW	BMW	230i Coupe	2-Wheel Drive, Rear	26	35	30		2	4	Auto(S8)	8	333	251	296
2026	BMW	BMW	230i xDrive Coupe	All Wheel Drive	25	33	28		2	4	Auto(S8)	8	355	262	313
2026	BMW	BMW	330i Sedan	2-Wheel Drive, Rear	28	35	31		2	4	Auto(S8)	8	317	248	286
2026	BMW	BMW	330i xDrive Sedan	All Wheel Drive	26	34	29		2	4	Auto(S8)	8	332	256	298
2026	BMW	BMW	430i Convertible	2-Wheel Drive, Rear	27	35	30		2	4	Auto(S8)	8	329	253	295
2026	BMW	BMW	430i Coupe	2-Wheel Drive, Rear	28	36	31		2	4	Auto(S8)	8	315	248	285
2026	BMW	BMW	430i Gran Coupe	2-Wheel Drive, Rear	27	35	30		2	4	Auto(S8)	8	320	252	290
2026	BMW	BMW	430i xDrive Convertible	All Wheel Drive	24	33	28		2	4	Auto(S8)	8	359	263	316
2026	BMW	BMW	430i xDrive Coupe	All Wheel Drive	27	34	30		2	4	Auto(S8)	8	325	256	294
2026	BMW	BMW	430i xDrive Gran Coupe	All Wheel Drive	25	34	29		2	4	Auto(S8)	8	345	257	305
2026	BMW	BMW	530i Sedan	2-Wheel Drive, Rear	28	35	31		2	4	Auto(S8)	8	315	249	285
2026	BMW	BMW	530i xDrive Sedan	All Wheel Drive	27	35	30		2	4	Auto(S8)	8	325	253	292
2026	BMW	BMW	540i xDrive Sedan	All Wheel Drive	26	32	28		3	6	Auto(S8)	8	338	271	308
2026	BMW	BMW	740i Sedan	2-Wheel Drive, Rear	25	31	28		3	6	Auto(S8)	8	347	279	317
2026	BMW	BMW	740i xDrive Sedan	All Wheel Drive	24	31	27		3	6	Auto(S8)	8	359	285	326
2026	BMW	BMW	760i xDrive Sedan	All Wheel Drive	18	25	20		4.4	8	Auto(S8)	8	494	344	427
2026	BMW	BMW	840i Convertible	2-Wheel Drive, Rear	21	29	24		3	6	Auto(S8)	8	420	305	368
2026	BMW	BMW	840i Coupe	2-Wheel Drive, Rear	21	29	24		3	6	Auto(S8)	8	420	305	368
2026	BMW	BMW	840i Gran Coupe	2-Wheel Drive, Rear	21	29	24		3	6	Auto(S8)	8	420	305	368
2026	BMW	BMW	840i xDrive Convertible	All Wheel Drive	21	29	24		3	6	Auto(S8)	8	426	308	373
2026	BMW	BMW	840i xDrive Coupe	All Wheel Drive	21	29	24		3	6	Auto(S8)	8	426	308	373
2026	BMW	BMW	840i xDrive Gran Coupe	All Wheel Drive	21	29	24		3	6	Auto(S8)	8	426	308	373
2026	BMW	BMW	ALPINA XB7	All Wheel Drive	16	20	17		4.4	8	Auto(S8)	8	564	434	506
2026	BMW	Mini	Cooper C 2 Door	2-Wheel Drive, Front	27	39	32		2	4	Auto(AM-S7)	7	320	227	278
2026	BMW	Mini	Cooper C 4 Door	2-Wheel Drive, Front	28	39	32		2	4	Auto(AM-S7)	7	318	225	276
2026	BMW	Mini	Cooper C Convertible	2-Wheel Drive, Front	27	37	30		2	4	Auto(AM-S7)	7	327	238	287
2026	BMW	Mini	Cooper S 2 Door	2-Wheel Drive, Front	28	39	32		2	4	Auto(AM-S7)	7	315	225	275
2026	BMW	Mini	Cooper S 4 Door	2-Wheel Drive, Front	28	39	32		2	4	Auto(AM-S7)	7	311	226	273
2026	BMW	Mini	Cooper S Convertible	2-Wheel Drive, Front	26	36	30		2	4	Auto(AM-S7)	7	330	245	292
2026	BMW	Mini	Countryman S ALL4	All Wheel Drive	24	32	27		2	4	Auto(AM-S7)	7	366	273	324
2026	BMW	Mini	JCW 2 Door	2-Wheel Drive, Front	27	37	30		2	4	Auto(AM-S7)	7	328	238	288
2026	BMW	Mini	JCW Convertible	2-Wheel Drive, Front	26	35	30		2	4	Auto(AM-S7)	7	335	247	296
2026	BMW	Mini	JCW Countryman ALL4	All Wheel Drive	23	30	25		2	4	Auto(AM-S7)	7	389	288	344
2026	BMW	BMW	M2 Coupe	2-Wheel Drive, Rear	16	23	19		3	6	Manual(M6)	6	552	377	473
2026	BMW	BMW	M2 Coupe	2-Wheel Drive, Rear	16	23	19		3	6	Auto(S8)	8	535	381	466
2026	BMW	BMW	M2 Coupe CS	2-Wheel Drive, Rear	16	23	19		3	6	Auto(S8)	8	551	382	475
2026	BMW	BMW	M235 xDrive Gran Coupe	All Wheel Drive	24	33	27		2	4	Auto(AM-S7)	7	368	264	321
