Year	Month	Price	Date	Num.month
1993	April	1.078	04/01/1993	4
1993	May	1.1	05/01/1993	5
1993	June	1.097	06/01/1993	6
1993	July	1.078	07/01/1993	7
1993	August	1.062	08/01/1993	8
1993	September	1.05	09/01/1993	9
1993	October	1.092	10/01/1993	10
1993	November	1.066	11/01/1993	11
1993	December	1.014	12/01/1993	12
1994	January	0.998	01/01/1994	1
1994	February	1.009	02/01/1994	2
1994	March	1.008	03/01/1994	3
1994	April	1.027	04/01/1994	4
1994	May	1.047	05/01/1994	5
1994	June	1.078	06/01/1994	6
1994	July	1.106	07/01/1994	7
1994	August	1.155	08/01/1994	8
1994	September	1.144	09/01/1994	9
1994	October	1.114	10/01/1994	10
1994	November	1.119	11/01/1994	11
1994	December	1.129	12/01/1994	12
1995	January	1.13	01/01/1995	1
1995	February	1.12	02/01/1995	2
1995	March	1.119	03/01/1995	3
1995	April	1.157	04/01/1995	4
1995	May	1.225	05/01/1995	5
1995	June	1.239	06/01/1995	6
1995	July	1.201	07/01/1995	7
1995	August	1.17	08/01/1995	8
1995	September	1.158	09/01/1995	9
1995	October	1.134	10/01/1995	10
1995	November	1.109	11/01/1995	11
1995	December	1.118	12/01/1995	12
1996	January	1.137	01/01/1996	1
1996	February	1.136	02/01/1996	2
1996	March	1.183	03/01/1996	3
1996	April	1.275	04/01/1996	4
1996	May	1.324	05/01/1996	5
1996	June	1.3	06/01/1996	6
1996	July	1.272	07/01/1996	7
1996	August	1.251	08/01/1996	8
1996	September	1.247	09/01/1996	9
1996	October	1.249	10/01/1996	10
1996	November	1.278	11/01/1996	11
1996	December	1.282	12/01/1996	12
1997	January	1.283	01/01/1997	1
1997	February	1.276	02/01/1997	2
1997	March	1.251	03/01/1997	3
1997	April	1.244	04/01/1997	4
1997	May	1.245	05/01/1997	5
1997	June	1.242	06/01/1997	6
1997	July	1.22	07/01/1997	7
1997	August	1.268	08/01/1997	8
1997	September	1.276	09/01/1997	9
1997	October	1.242	10/01/1997	10
1997	November	1.216	11/01/1997	11
1997	December	1.177	12/01/1997	12
1998	January	1.132	01/01/1998	1
1998	February	1.096	02/01/1998	2
1998	March	1.064	03/01/1998	3
1998	April	1.077	04/01/1998	4
1998	May	1.105	05/01/1998	5
1998	June	1.103	06/01/1998	6
1998	July	1.094	07/01/1998	7
1998	August	1.065	08/01/1998	8
1998	September	1.049	09/01/1998	9
1998	October	1.059	10/01/1998	10
1998	November	1.036	11/01/1998	11
1998	December	0.987	12/01/1998	12
1999	January	0.98	01/01/1999	1
1999	February	0.962	02/01/1999	2
1999	March	1.022	03/01/1999	3
1999	April	1.171	04/01/1999	4
1999	May	1.171	05/01/1999	5
1999	June	1.154	06/01/1999	6
1999	July	1.197	07/01/1999	7
1999	August	1.26	08/01/1999	8
1999	September	1.295	09/01/1999	9
1999	October	1.285	10/01/1999	10
1999	November	1.292	11/01/1999	11
1999	December	1.313	12/01/1999	12
2000	January	1.329	01/01/2000	1
2000	February	1.415	02/01/2000	2
2000	March	1.556	03/01/2000	3
2000	April	1.506	04/01/2000	4
2000	May	1.526	05/01/2000	5
2000	June	1.666	06/01/2000	6
2000	July	1.591	07/01/2000	7
2000	August	1.506	08/01/2000	8
2000	September	1.588	09/01/2000	9
2000	October	1.571	10/01/2000	10
2000	November	1.557	11/01/2000	11
2000	December	1.483	12/01/2000	12
2001	January	1.487	01/01/2001	1
2001	February	1.49	02/01/2001	2
2001	March	1.45	03/01/2001	3
2001	April	1.591	04/01/2001	4
2001	May	1.738	05/01/2001	5
2001	June	1.658	06/01/2001	6
2001	July	1.466	07/01/2001	7
2001	August	1.461	08/01/2001	8
2001	September	1.557	09/01/2001	9
2001	October	1.357	10/01/2001	10
2001	November	1.212	11/01/2001	11
2001	December	1.127	12/01/2001	12
2002	January	1.148	01/01/2002	1
2002	February	1.155	02/01/2002	2
2002	March	1.289	03/01/2002	3
2002	April	1.439	04/01/2002	4
2002	May	1.434	05/01/2002	5
2002	June	1.424	06/01/2002	6
2002	July	1.438	07/01/2002	7
2002	August	1.438	08/01/2002	8
2002	September	1.441	09/01/2002	9
2002	October	1.486	10/01/2002	10
2002	November	1.461	11/01/2002	11
2002	December	1.429	12/01/2002	12
2003	January	1.5	01/01/2003	1
2003	February	1.655	02/01/2003	2
2003	March	1.734	03/01/2003	3
2003	April	1.633	04/01/2003	4
2003	May	1.539	05/01/2003	5
2003	June	1.533	06/01/2003	6
2003	July	1.554	07/01/2003	7
2003	August	1.661	08/01/2003	8
2003	September	1.721	09/01/2003	9
2003	October	1.606	10/01/2003	10
2003	November	1.555	11/01/2003	11
2003	December	1.522	12/01/2003	12
2004	January	1.614	01/01/2004	1
2004	February	1.69	02/01/2004	2
2004	March	1.778	03/01/2004	3
2004	April	1.839	04/01/2004	4
2004	May	2.023	05/01/2004	5
2004	June	2.013	06/01/2004	6
2004	July	1.954	07/01/2004	7
2004	August	1.92	08/01/2004	8
2004	September	1.912	09/01/2004	9
2004	October	2.042	10/01/2004	10
2004	November	2.023	11/01/2004	11
2004	December	1.887	12/01/2004	12
2005	January	1.875	01/01/2005	1
2005	February	1.953	02/01/2005	2
2005	March	2.12	03/01/2005	3
2005	April	2.285	04/01/2005	4
2005	May	2.205	05/01/2005	5
2005	June	2.198	06/01/2005	6
2005	July	2.333	07/01/2005	7
2005	August	2.529	08/01/2005	8
2005	September	2.951	09/01/2005	9
2005	October	2.765	10/01/2005	10
2005	November	2.303	11/01/2005	11
2005	December	2.229	12/01/2005	12
2006	January	2.36	01/01/2006	1
2006	February	2.326	02/01/2006	2
2006	March	2.468	03/01/2006	3
2006	April	2.787	04/01/2006	4
2006	May	2.953	05/01/2006	5
2006	June	2.93	06/01/2006	6
2006	July	3.025	07/01/2006	7
2006	August	2.999	08/01/2006	8
2006	September	2.606	09/01/2006	9
2006	October	2.293	10/01/2006	10
2006	November	2.275	11/01/2006	11
2006	December	2.359	12/01/2006	12
2007	January	2.289	01/01/2007	1
2007	February	2.323	02/01/2007	2
2007	March	2.609	03/01/2007	3
2007	April	2.891	04/01/2007	4
2007	May	3.187	05/01/2007	5
2007	June	3.102	06/01/2007	6
2007	July	3.011	07/01/2007	7
2007	August	2.834	08/01/2007	8
2007	September	2.849	09/01/2007	9
2007	October	2.853	10/01/2007	10
2007	November	3.128	11/01/2007	11
2007	December	3.07	12/01/2007	12
2008	January	3.095	01/01/2008	1
2008	February	3.078	02/01/2008	2
2008	March	3.293	03/01/2008	3
2008	April	3.507	04/01/2008	4
2008	May	3.815	05/01/2008	5
2008	June	4.105	06/01/2008	6
2008	July	4.114	07/01/2008	7
2008	August	3.833	08/01/2008	8
2008	September	3.756	09/01/2008	9
2008	October	3.112	10/01/2008	10
2008	November	2.208	11/01/2008	11
2008	December	1.745	12/01/2008	12
2009	January	1.84	01/01/2009	1
2009	February	1.975	02/01/2009	2
2009	March	2.011	03/01/2009	3
2009	April	2.102	04/01/2009	4
2009	May	2.316	05/01/2009	5
2009	June	2.681	06/01/2009	6
2009	July	2.582	07/01/2009	7
2009	August	2.67	08/01/2009	8
2009	September	2.609	09/01/2009	9
2009	October	2.605	10/01/2009	10
2009	November	2.706	11/01/2009	11
2009	December	2.663	12/01/2009	12
2010	January	2.769	01/01/2010	1
2010	February	2.699	02/01/2010	2
2010	March	2.824	03/01/2010	3
2010	April	2.9	04/01/2010	4
2010	May	2.89	05/01/2010	5
2010	June	2.785	06/01/2010	6
2010	July	2.782	07/01/2010	7
2010	August	2.783	08/01/2010	8
2010	September	2.757	09/01/2010	9
2010	October	2.853	10/01/2010	10
2010	November	2.913	11/01/2010	11
2010	December	3.048	12/01/2010	12
2011	January	3.148	01/01/2011	1
2011	February	3.264	02/01/2011	2
2011	March	3.615	03/01/2011	3
2011	April	3.852	04/01/2011	4
2011	May	3.96	05/01/2011	5
2011	June	3.735	06/01/2011	6
2011	July	3.705	07/01/2011	7
2011	August	3.696	08/01/2011	8
2011	September	3.667	09/01/2011	9
2011	October	3.506	10/01/2011	10
2011	November	3.443	11/01/2011	11
2011	December	3.326	12/01/2011	12
2012	January	3.44	01/01/2012	1
2012	February	3.64	02/01/2012	2
