Year	month	Saffir-Simpson	Central_Pressure	Max_wind	name
1851	Jun	1	974	80	
1851	Aug	3	955	100	Great Middle Florida
1852	Aug	3	961	100	Great Mobile
1852	Sep	1	982	70	
1852	Oct	2	965	90	Middle Florida
1853	Oct	1	965	70	
1854	Jun	1	982	70	
1854	Sep	3	950	100	Great Carolina
1854	Sep	2	965	90	Matagorda
1855	Sep	3	945	110	Middle Gulf Shore
1856	Aug	4	934	130	Last Island
1856	Aug	2	965	90	Southeastern States
1857	Sep	2	961	90	
1858	Sep	1	976	80	New England
1859	Sep	1	982	70	
1859	Oct	1	974	80	
1860	Aug	3	945	110	
1860	Sep	2	965	90	
1860	Oct	2	965	90	
1861	Aug	1	978	70	Key West
1861	Sep	1	985	70	Equinoctial
1861	Nov	1	985	70	Expedition
1862	None				
1863	None				
1864	None				
1865	Sep	2	965	90	Sabine River
1865	Oct	2	969	90	
1866	Jul	2	965	90	
1867	Jun	1	985	70	
1867	Oct	2	965	90	Galveston
1868	None				
1869	Aug	2	965	90	Lower Texas Coast
1869	Sep	1	982	70	
1869	Sep	3	963	100	Eastern New England
1869	Oct	2	965	90	Saxby's Gale
1870	Jul	1	982	70	Mobile
1870	Oct	1	970	70	Twin Key West (I)
1870	Oct	1	977	80	Twin Key West (II)
1871	Aug	3	955	100	
1871	Aug	2	965	90	
1871	Sep	1	982	70	
1872	None				
1873	Sep	1	982	70	
1873	Oct	3	959	100	
1874	Sep	1	981	80	
1875	Sep	3	955	100	
1876	Sep	1	980	80	
1876	Oct	2	973	90	
1877	Sep	1	982	70	
1877	Oct	3	955	100	
1878	Sep	2	970	90	
1878	Oct	2	963	90	
1879	Aug	3	971	100	
1879	Aug	2	964	90	
1879	Sep	3	945	110	
1880	Aug	3	931	110	
1880	Aug	2	972	90	
1880	Sep	1	987	70	
1880	Oct	1	982	70	
1881	Aug	2	970	90	
1881	Sep	2	975	90	
1882	Sep	3	949	110	
1882	Oct	1	985	70	
1883	Sep	2	965	90	
1884	None				
1885	Aug	2	970	90	
1886	Jun	2	970	85	
1886	Jun	2	970	85	
1886	Jun	2	970	85	
1886	Jul	1	982	70	
1886	Aug	4	925	130	Indianola
1886	Sep	1	973	80	
1886	Oct	3	950	105	
1887	Jul	1	978	75	
1887	Aug	1	946	65	
1887	Sep	1	973	75	
1887	Oct	1	978	75	
1888	Jun	1	982	70	
1888	Aug	3	945	110	
1888	Oct	2	970	95	
1889	Sep	1	982	70	
1890	None				
1891	Jul	1	974	80	
1891	Aug	1	985	70	
1892	None				
