Rank_In_Year	Released	Release_Year	Title	TheatricalDistributor	Genre	Full_Genre	ProductionMethod	CreativeType	MaximumTheaters	ProductionBudgetM	OpeningWkendRevenueM	DomBoxOfficeM	InflAdjDomBoxOfficeM	InternationalBoxOfficeM	WorldwideBoxOfficeM	MPAA_Rating	Runtime_h	IMDB_Rating	RottenTomatoes_Rating
1	12/16/16	2016	Rogue One: A Star Wars Story	Walt Disney	Adventure	Adventure	Animation/Live Action	Science Fiction	4157	280.2	155.08	533.54	691.51	521.54	1055.08	PG-13	2.217	7.8	84
2	6/17/16	2016	Finding Dory	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	4305	200	135.06	486.3	635.84	538.71	1025.01	PG	1.617	7.2	94
3	5/6/16	2016	Captain America: Civil War	Walt Disney	Action	Action	Live Action	Super Hero	4226	250	179.14	408.08	533.58	743.82	1151.9	PG-13	2.45	7.8	90
4	7/8/16	2016	The Secret Life of Pets	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	4381	75	104.35	369.09	482.28	516.92	886.01	PG	1.433	6.5	70
5	4/15/16	2016	The Jungle Book	Walt Disney	Adventure	Adventure	Animation/Live Action	Fantasy	4144	175	103.26	364	475.94	586.7	950.7	PG	1.767	7.3	94
6	2/12/16	2016	Deadpool	20th Century Fox	Action	Action	Animation/Live Action	Super Hero	3856	58	132.43	363.07	474.72	418.88	781.95	R	1.8	8	85
7	3/4/16	2016	Zootopia	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	3959	150	75.06	341.27	446.21	677.21	1018.47	PG	1.8	8	98
8	3/25/16	2016	Batman v Superman: Dawn of Justice	Warner Bros.	Action	Action	Live Action	Super Hero	4256	263	166.01	330.36	431.95	544	874.36	R	2.517	6.4	28
9	8/5/16	2016	Suicide Squad	Warner Bros.	Action	Action	Animation/Live Action	Super Hero	4255	175	133.68	325.1	425.07	424.1	749.2	PG-13	2.05	5.9	26
10	12/21/16	2016	Sing	Universal	Other	Musical	Digital Animation	Kids Fiction	4029	75	35.26	270.33	347.98	360.74	631.06	PG	1.8	7.1	71
11	11/23/16	2016	Moana	Walt Disney	Other	Musical	Digital Animation	Kids Fiction	3875	150	56.63	248.76	323.28	435.6	684.36	PG	1.783	7.6	95
12	11/18/16	2016	Fantastic Beasts and Where to Find Them	Warner Bros.	Adventure	Adventure	Animation/Live Action	Fantasy	4144	180	74.4	234.04	305.48	582	816.04	PG-13	2.2	7.2	74
13	11/4/16	2016	Doctor Strange	Walt Disney	Action	Action	Animation/Live Action	Super Hero	3882	165	85.06	232.64	304.05	443.7	676.34	PG-13	1.917	7.5	89
14	12/25/16	2016	Hidden Figures	20th Century Fox	Drama	Drama	Live Action	Dramatization	3416	25	0.52	169.61	213.95	58.76	228.37	PG	2.117	7.8	93
15	7/29/16	2016	Jason Bourne	Universal	Action	Action	Live Action	Contemporary Fiction	4039	120	59.22	162.19	212.07	253.98	416.17	PG-13	2.05	6.6	55
16	7/22/16	2016	Star Trek Beyond	Paramount Pictures	Adventure	Adventure	Live Action	Science Fiction	3928	185	59.25	158.85	207.7	176.83	335.67	PG-13	2.033	7	86
17	5/27/16	2016	X-Men: Apocalypse	20th Century Fox	Action	Action	Live Action	Super Hero	4153	178	65.77	155.44	203.24	387.1	542.54	PG-13	2.4	6.8	47
