CatsDogsBoth	Gender	drugsY.N	smokesY.N
	Man	No	yes
	Man	Yes	no
Has cats	Man		no
	Man		no
	Man	No	no
	Man		no
	Woman	No	
	Woman	No	no
	Woman		yes
	Man	No	no
	Man		yes
	Man	No	no
	Man		
Has dogs	Woman	No	no
Has cats	Woman	No	no
Has cats	Woman		no
	Man		yes
	Woman	No	no
	Man	No	no
	Man	No	no
	Woman	No	no
	Woman	No	no
	Man	No	no
	Man	No	no
	Man	Yes	yes
Has dogs	Man	No	no
	Man	No	yes
Has dogs	Man	No	no
	Man		no
	Man	Yes	no
	Woman		yes
	Man	No	no
	Woman	No	no
Has dogs	Woman	No	no
	Man	No	yes
	Man	No	
	Man	No	yes
	Man		
	Woman		
	Man		no
	Man	No	no
	Man		no
	Man	Yes	no
	Man		no
Has cats	Woman	Yes	no
	Man	No	
	Man		
	Man	Yes	no
	Woman	Yes	no
	Woman	No	no
	Woman	Yes	no
	Woman	No	no
	Man		no
Has dogs	Man		
	Man	No	no
Has cats	Man	No	no
	Man		no
	Man		yes
Has Both	Man	Yes	yes
	Man		yes
	Man	No	no
	Man		no
	Man	Yes	yes
	Woman		yes
	Man	No	no
	Man	No	no
	Man	No	no
Has cats	Woman	Yes	yes
	Woman		yes
	Man	Yes	no
	Woman	No	no
	Woman		no
	Man	Yes	no
	Woman	No	no
Has cats	Man		
	Woman		
	Man	Yes	no
Has cats	Woman	No	no
	Woman	No	no
	Man	No	no
	Woman	No	no
	Man	No	no
Has cats	Man	No	no
	Woman	No	no
	Man	No	no
	Man		no
	Woman		no
	Woman	No	no
	Man	No	no
Has cats	Woman	No	no
	Man	No	yes
	Man		
	Woman	Yes	
	Man		no
	Man	Yes	no
	Man		no
Has cats	Man		no
	Man	No	no
	Woman	Yes	no
	Man	No	no
	Man		no
	Man	No	no
	Man	Yes	no
	Man	Yes	no
	Woman	No	no
	Woman	No	no
	Woman	No	no
Has dogs	Man	No	no
	Woman	No	no
	Man	No	no
	Man		no
	Man		no
	Man		
	Woman	No	yes
	Man	Yes	no
	Man	No	yes
	Man	No	
	Man	No	no
	Woman	No	no
	Woman		no
Has cats	Man	No	no
Has cats	Man	No	no
	Man	Yes	yes
	Man	Yes	yes
	Woman	No	no
	Man		no
	Man	No	no
	Man		no
	Man	No	yes
	Man		no
	Man	Yes	yes
Has dogs	Woman	No	yes
Has cats	Woman		no
Has dogs	Woman	No	no
	Man	No	no
	Woman	No	no
	Man		yes
Has cats	Man	No	no
	Man	No	no
	Man	No	no
	Woman	No	no
	Man	No	no
	Man	Yes	no
	Man		no
	Woman		no
	Man	No	no
	Man	Yes	yes
	Man	No	no
	Woman	No	no
	Woman		no
	Woman		no
Has dogs	Man		no
Has Both	Man		no
	Man	Yes	yes
	Man	No	no
	Woman	No	no
	Woman	No	
	Woman	No	no
Has cats	Woman	No	no
	Woman	No	no
Has cats	Woman		
Has dogs	Woman	No	
	Man		
	Woman		
	Man	No	no
	Man		
	Man		no
	Woman	No	no
	Woman	No	no
Has dogs	Woman	No	no
	Woman	No	no
Has cats	Man		no
	Man	No	no
Has cats	Woman	No	no
Has dogs	Man	No	yes
	Man	No	
Has cats	Man	No	no
Has dogs	Man	No	yes
Has cats	Woman		
	Man	Yes	yes
Has dogs	Man	No	no
	Woman	No	no
Has cats	Woman	No	no
	Man		no
	Man	No	no
	Woman	No	no
	Woman	No	no
	Woman	No	no
	Woman	No	no
	Man	No	no
	Woman	No	no
	Man	No	no
	Woman	Yes	yes
	Man		no
Has dogs	Man	No	no
	Woman	No	yes
	Man	Yes	yes
	Woman		no
	Woman	No	no
Has dogs	Woman	No	no
	Woman	No	no
	Man	No	no
	Woman	No	no
