ONET.SOC.2010.Code	OPR.Job.Title	OPR.Field.Title	Prestige1989_GSS	Prestige2012_GSS	Prestige2016_OPR	NumEmployedK	MeanAnnualSal	MedianAnnualSal	Manual	MedSalK
11-1011.03	Chief Sustainability Officer	Management	64.38	NA	62.04	211.23	258900	206680	0	206.68
11-1011.00	Chief Executive Officers	Management	70.45	6.58	80.37	211.23	258900	206680	0	206.68
11-1021.00	General and Operations Manager	Management	50.64	4.94	59.14	3507.81	129330	101280	0	101.28
11-1031.00	Legislator	Management	60.92	5.6	69.7	32.46	68140	47290	0	47.29
13-1011.00	Agent and/or Business Manager of Artists, Performers, and Athletes	BusinFinanOperations	51.43	4.6	65.64	12.87	132810	84900	0	84.9
13-1031.00	Claims Adjuster, Examiner, and/or Investigator	BusinFinanOperations	64.38	4.7	49.65	293.78	75770	75050	0	75.05
13-1031.01	Claims Adjuster, Examiner, and/or Investigator	BusinFinanOperations	64.38	NA	49.65	293.78	75770	75050	0	75.05
13-1031.02	Claims Adjuster, Examiner, and/or Investigator	BusinFinanOperations	64.38	NA	49.65	293.78	75770	75050	0	75.05
13-1032.00	Insurance Appraiser and/or Adjuster	BusinFinanOperations	64.38	NA	44.25	8.67	75660	74520	0	74.52
13-1041.00	Compliance Officer	BusinFinanOperations	64.38	4.75	55.76	383.62	80190	75670	0	75.67
13-1041.01	Environmental Compliance Inspector	BusinFinanOperations	64.38	NA	59.55	383.62	80190	75670	0	75.67
13-1041.02	Licensing Examiner and/or Inspector	BusinFinanOperations	64.38	NA	50.63	383.62	80190	75670	0	75.67
13-1041.06	Coroner	BusinFinanOperations	64.38	NA	61.78	383.62	80190	75670	0	75.67
13-1041.03	Equal Opportunity Representative and/or Officer	BusinFinanOperations	64.38	NA	51.38	383.62	80190	75670	0	75.67
13-1041.04	Government Property Inspector and/or Investigator	BusinFinanOperations	64.38	NA	54.55	383.62	80190	75670	0	75.67
13-1041.07	Regulatory Affairs Specialist	BusinFinanOperations	64.38	NA	56.99	383.62	80190	75670	0	75.67
13-1051.00	Cost Estimator	BusinFinanOperations	64.38	3.6	52.27	220.97	79520	74740	0	74.74
13-1071.00	Human Resources and/or Training	BusinFinanOperations	64.38	4.73	49	895.97	76060	67650	0	67.65
13-1074.00	Farm Labor Contractor	FarmingFishingForestry	43.32	NA	34.09	0.46	51400	45730	1	45.73
13-1075.00	Labor Relations Specialist	BusinFinanOperations	64.38	NA	52.7	62.8	94620	89980	0	89.98
13-1081.02	Logistics Analyst and/or Engineer	BusinFinanOperations	64.38	NA	68.64	228.47	84640	79400	0	79.4
13-1081.00	Logistician	BusinFinanOperations	64.38	5	58.91	228.47	84640	79400	0	79.4
13-1081.01	Logistics Analyst and/or Engineer	BusinFinanOperations	64.38	NA	68.64	228.47	84640	79400	0	79.4
15-1199.00	Other - Computer Science Worker	ComputerMath	73.7	4.75	63.26	947.63	104920	98580	0	98.58
11-9199.00	Other - Manager	Management	50.64	NA	60.05	947.63	104920	98580	0	98.58
13-1199.00	Business Operations Specialist	BusinFinanOperations	64.38	3.6	57.48	947.63	104920	98580	0	98.58
13-1111.00	Management Analyst	BusinFinanOperations	60.65	5	62.37	838.14	115530	99410	0	99.41
13-1121.00	Meeting and Convention Planner	BusinFinanOperations	64.38	4.85	49.3	122.13	62280	56920	0	56.92
13-1131.00	Public Relations Manager	Management	59.46	4.1	56.92	101.73	70760	64160	0	64.16
13-1141.00	Compensation, Benefits, and/or Job Analysis Specialist	BusinFinanOperations	64.38	5.2	54.05	99.85	80620	74530	0	74.53
13-1151.00	Training and Development Specialist	BusinFinanOperations	64.38	5.2	56.72	403.48	71980	64340	0	64.34
13-1161.00	Market Research Analyst	LifePhysicalSocialScience	64.38	5.6	57.12	846.37	83190	74680	0	74.68
13-1199.04	Business Continuity Planner	BusinFinanOperations	64.38	NA	63.46	1103.44	89130	79590	0	79.59
13-1199.01	Energy Auditor	BusinFinanOperations	65.38	NA	55.68	1103.44	89130	79590	0	79.59
13-1199.02	Security Management Specialist	BusinFinanOperations	64.38	NA	60.45	1103.44	89130	79590	0	79.59
13-1199.03	Customs Broker	BusinFinanOperations	64.38	NA	56.34	1103.44	89130	79590	0	79.59
13-1199.06	Online Merchant	Management	53.52	NA	47.65	1103.44	89130	79590	0	79.59
13-1199.00	Business Operations Specialist	BusinFinanOperations	64.38	NA	57.48	1103.44	89130	79590	0	79.59
13-1199.05	Sustainability Specialist	BusinFinanOperations	64.38	NA	60.75	1103.44	89130	79590	0	79.59
13-2011.01	Accountant	BusinFinanOperations	65.38	NA	62.78	1435.77	90780	79880	0	79.88
13-2011.02	Auditor	BusinFinanOperations	65.38	NA	60.05	1435.77	90780	79880	0	79.88
13-2011.00	NA	NA	NA	5.7	NA	1435.77	90780	79880	0	79.88
13-2031.00	Budget Analyst	BusinFinanOperations	64.38	5.15	59.01	47.31	90880	84940	0	84.94
13-2041.00	Credit Analyst	BusinFinanOperations	64.38	5.1	50.39	73.2	94750	79420	0	79.42
13-2051.00	Financial Analyst	BusinFinanOperations	64.38	5.6	67.31	325.22	112950	99010	0	99.01
13-2052.00	Personal Financial Advisor	BusinFinanOperations	64.38	6	62.71	272.19	150670	99580	0	99.58
13-2053.00	Insurance Underwriter	BusinFinanOperations	48.4	4.5	46.77	101.31	85610	77860	0	77.86
13-2099.00	Other - Financial Specialist	BusinFinanOperations	64.38	4.2	64.67	55.29	118950	106090	0	106.09
13-2051.00	Financial Analyst	BusinFinanOperations	64.38	NA	67.31	55.29	118950	106090	0	106.09
13-2099.02	Risk Management Specialist	BusinFinanOperations	64.38	NA	60.19	55.29	118950	106090	0	106.09
13-2061.00	Financial Examiner	BusinFinanOperations	64.38	5.3	63.2	63.44	98140	84300	0	84.3
13-2071.01	Loan Counselor	BusinFinanOperations	64.38	NA	46.19	27.95	53440	48570	0	48.57
13-2071.00	Loan Counselor	BusinFinanOperations	64.38	4.65	46.19	27.95	53440	48570	0	48.57
13-2072.00	Loan Officer	BusinFinanOperations	64.38	NA	49.32	321.09	84490	69990	0	69.99
13-2081.00	Tax Examiner, Collector, and/or Revenue Agent	BusinFinanOperations	64.38	4.1	47.34	50.25	65370	58530	0	58.53
13-2082.00	Tax Preparer	BusinFinanOperations	64.38	5.1	50.5	81.65	58160	49010	0	49.01
13-2099.00	Other - Financial Specialist	BusinFinanOperations	64.38	NA	64.67	122.73	89650	78310	0	78.31
13-2099.01	Financial Quantitative Analyst	BusinFinanOperations	64.38	NA	68.45	122.73	89650	78310	0	78.31
13-2099.03	Investment Underwriter	BusinFinanOperations	48.4	NA	59.49	122.73	89650	78310	0	78.31
13-2099.04	Fraud Examiner, Investigator and/or Analyst	BusinFinanOperations	64.38	NA	58.68	122.73	89650	78310	0	78.31
15-1121.01	Informatics Nurse Specialist	ComputerMath	64.38	NA	66.31	498.81	110800	103800	0	103.8
15-1121.00	Computer and Information Scientist	ComputerMath	73.7	6.2	73.02	498.81	110800	103800	0	103.8
15-1122.00	Computer Security Specialist	ComputerMath	73.7	6	70.53	175.35	124740	120360	0	120.36
15-1111.00	Computer and Information Scientist	ComputerMath	73.7	6.4	73.02	35.21	157160	145080	0	145.08
15-1152.00	Computer Specialist	ComputerMath	73.7	NA	69.11	158.72	78640	71530	0	71.53
15-1151.00	Computer Support Specialist	ComputerMath	73.7	4.85	52.93	689.7	63640	59240	0	59.24
15-1143.01	Telecommunications Specialist	ComputerMath	64.38	NA	54.39	174.1	133930	129840	0	129.84
15-1143.00	Network Systems and Data Communications Analyst	ComputerMath	64.38	5.8	69.76	174.1	133930	129840	0	129.84
15-1141.00	Database Administrator	ComputerMath	53.52	5.5	56.86	76.14	104810	101510	0	101.51
15-1141.00	Database Administrator	ComputerMath	53.52	NA	56.86	59.92	137030	134700	0	134.7
15-1199.07	Data Warehousing Specialist	ComputerMath	51.21	NA	49.5	59.92	137030	134700	0	134.7
15-1199.06	Database Architect	ComputerMath	51.21	NA	65.66	59.92	137030	134700	0	134.7
15-1199.00	Other - Computer Science Worker	ComputerMath	73.7	NA	63.26	59.92	137030	134700	0	134.7
15-1142.00	Network and Computer Systems Administrator	ComputerMath	53.52	5.8	68.57	323.02	100580	95360	0	95.36
15-1131.00	Computer Programmer	ComputerMath	60.51	6	69.27	120.37	107750	99700	0	99.7
15-1133.00	Computer Software Engineer	ComputerMath	73.7	NA	71.95	1656.88	138110	132270	0	132.27
15-1132.00	Computer Software Engineer	ComputerMath	73.7	5.75	71.95	1656.88	138110	132270	0	132.27
15-1199.02	Computer Systems Engineers/Architect	ComputerMath	73.7	NA	73.52	1656.88	138110	132270	0	132.27
15-1199.01	Software Quality Assurance Engineer and/or Tester	ComputerMath	70.69	NA	65.12	203.04	108460	101800	0	101.8
15-1133.00	Computer Software Engineer	ComputerMath	73.7	NA	71.95	203.04	108460	101800	0	101.8
15-1199.00	Other - Computer Science Worker	ComputerMath	73.7	NA	63.26	203.04	108460	101800	0	101.8
15-1132.00	Computer Software Engineer	ComputerMath	73.7	NA	71.95	203.04	108460	101800	0	101.8
15-1134.00	Web Developer	ComputerMath	64.38	5.4	63.93	85.35	95570	84960	0	84.96
15-1134.00	Web Developer	ComputerMath	64.38	NA	63.93	111.06	108820	98540	0	98.54
15-1199.10	Electronic Commerce Specialist	ComputerMath	51.21	NA	60.13	111.06	108820	98540	0	98.54
15-1199.00	Other - Computer Science Worker	ComputerMath	73.7	NA	63.26	111.06	108820	98540	0	98.54
15-1199.12	Document Management Specialist	ComputerMath	51.21	NA	48.59	437.17	112430	104920	0	104.92
43-9011.00	Computer Operator	OfficeAdminSupport	50.32	4.8	57.3	437.17	112430	104920	0	104.92
15-1199.00	Other - Computer Science Worker	ComputerMath	73.7	NA	63.26	437.17	112430	104920	0	104.92
15-1199.09	Information Technology Project Manager	ComputerMath	53.52	NA	68.65	437.17	112430	104920	0	104.92
15-1199.04	Geospatial Information Scientist and/or Technologist	ComputerMath	64.38	NA	72.94	437.17	112430	104920	0	104.92
15-1199.08	Business Intelligence Analyst	ComputerMath	64.38	NA	66.62	437.17	112430	104920	0	104.92
15-1199.11	Video Game Designer	ComputerMath	46.53	NA	65.87	437.17	112430	104920	0	104.92
15-1199.05	Geographic Information Systems Technician	ComputerMath	40.85	NA	62.72	437.17	112430	104920	0	104.92
15-1199.03	Web Administrator	ComputerMath	53.52	NA	56.76	437.17	112430	104920	0	104.92
15-2011.00	Actuary	ComputerMath	44.47	5	57.42	25.47	132500	120000	0	120
15-2021.00	Mathematician	ComputerMath	63.46	6.2	72.25	2.22	119770	116440	0	116.44
15-2031.00	Operations Research Analyst	ComputerMath	64.38	5.1	67.42	117.88	95600	83640	0	83.64
15-2041.02	Clinical Data Manager	ComputerMath	53.52	NA	55.21	29.95	109190	104110	0	104.11
15-2041.00	Statistician	ComputerMath	55.57	5.4	64.55	29.95	109190	104110	0	104.11
15-2041.01	Biostatistician	ComputerMath	55.57	NA	68.42	29.95	109190	104110	0	104.11
15-2099.00	Mathematical Science Occupation	ComputerMath	64.38	6.2	70.8	192.71	119040	108020	0	108.02
15-2099.00	Mathematical Science Occupation	ComputerMath	64.38	NA	70.8	4.32	83330	70620	0	70.62
15-2091.00	Mathematical Technician	ComputerMath	40.85	NA	66.35	4.32	83330	70620	0	70.62
17-1011.00	Architect	EngineeringArchitecture	73.15	6.7	75.6	111.17	100400	93310	0	93.31
