State	Total_2021	Male_2021	Femaie_2021
Alabama	25032	22915	2117
Alaska	4639	4197	442
Arizona	33914	30794	3120
Arkansas	17022	15592	1430
California	101441	97525	3916
Colorado	15865	14599	1266
Connecticut	9889	9254	635
Delaware	4810	4568	242
Florida	80417	75404	5013
Georgia	47010	43942	3068
Hawaii	4102	3669	433
Idaho	8907	7668	1239
Illinois	28980	27670	1310
Indiana	24972	22352	2620
Iowa	8562	7859	703
Kansas	8521	7793	728
Kentucky	18560	16493	2067
Louisiana	26074	24849	1225
Maine	1577	1466	111
Maryland	15134	14616	518
Massachusetts	6148	5949	199
Michigan	32186	30621	1565
Minnesota	8003	7546	457
Mississippi	17332	16116	1216
Missouri	23422	21370	2052
Montana	4313	3702	611
Nebraska	5600	5200	400
Nevada	10202	9418	784
New Hampshire	2127	1979	148
New Jersey	12506	12052	454
New Mexico	5154	4635	519
New York	30338	29233	1105
North Carolina	28995	26871	2124
North Dakota	1689	1489	200
Ohio	45029	41443	3586
Oklahoma	22391	20216	2175
Oregon	13198	12252	946
Pennsylvania	37194	35182	2012
Rhode Island	2238	2115	123
South Carolina	15759	14721	1038
South Dakota	3353	2892	461
Tennessee	21995	19903	2092
Texas	133772	123263	10509
Utah	5911	5429	482
Vermont	1287	1204	83
Virginia	30357	28119	2238
Washington	13674	12888	786
West Virginia	5847	5227	620
Wisconsin	20202	18953	1249
Wyoming	2123	1858	265
