price.2025	price.2003	livingArea	lotSize	age	landValue.2003	pctCollege	fireplaces	rooms	heating	fuel	sewer	waterfront	newConstruction	centralAir	bedrooms	bathrooms
293382	109000	1944	0.19	155	7300	51	1	8	hot water/steam	gas	public/commercial	No	No	No	4	1
430664	155000	1944	0.41	35	18700	51	1	5	hot air	gas	septic	No	No	No	3	1.5
319165	90000	1632	0.83	58	22200	51	0	8	electric	electric	septic	No	No	No	3	1.5
396970	122900	1416	2.4	26	21200	44	0	6	hot air	gas	none	No	No	No	3	1.5
383015	120000	1624	0.92	23	22300	51	0	6	hot air	gas	septic	No	No	No	3	2
222359	85860	704	9.97	35	4800	41	0	4	electric	electric	septic	No	No	No	2	1
241699	97000	1432	0.11	175	3100	57	0	5	hot water/steam	gas	public/commercial	No	No	No	3	2
366488	127000	1300	1.14	31	300	41	0	8	hot air	oil	septic	No	No	No	3	1.5
370000	155000	1300	1.13	31	300	41	0	7	hot air	oil	septic	No	No	No	3	1.5
215493	87500	1092	1.88	39	19400	35	0	6	hot air	oil	septic	No	No	No	3	1
323455	104900	1600	0.43	43	5600	39	0	4	electric	electric	public/commercial	No	No	No	3	1.5
441423	148635	1576	1.32	23	6200	39	0	7	hot air	gas	septic	No	Yes	Yes	3	2.5
348470	150000	2080	1.03	46	5100	39	0	6	hot air	oil	septic	No	No	No	3	2
327820	90400	1600	0.36	38	5200	39	0	4	electric	electric	public/commercial	No	No	No	3	1.5
360598	135000	1728	2.83	148	6000	39	0	6	hot water/steam	oil	septic	No	No	No	3	1
356005	145000	1170	7.01	48	4500	39	0	5	hot air	oil	septic	No	No	No	4	1.5
738089	457000	2461	0.46	75	2700	39	1	10	hot air	oil	public/commercial	Yes	No	No	4	2
334701	130000	1220	2.24	73	24800	71	2	4	hot water/steam	oil	septic	No	No	No	2	1
529235	229000	2219	0.87	31	41100	64	1	8	hot air	gas	public/commercial	No	No	No	3	2.5
454533	179900	2026	0.46	23	15200	52	1	6	hot air	gas	septic	No	No	No	4	2.5
451126	169900	1671	0.91	41	20200	71	1	8	hot air	gas	septic	No	No	Yes	4	3
501097	209900	2060	0.46	23	15200	52	1	7	hot air	gas	none	No	No	No	4	2.5
