Year	Total	Male	Female	Age18to24	Age25to44	Age45to64	Age65plus
1965	42.4	51.9	33.9	45.5	51.2	41.6	17.9
1970	37.4	44.1	31.5	38	44.6	38.6	16.1
1974	37.1	43.1	32.1	37.8	44.5	37.7	17.3
1980	33.2	37.6	29.3	33.3	37.8	35.6	17.2
1985	30.1	32.6	27.9	29.3	34.8	31.6	16
1990	25.5	28.4	22.8	24.5	29.7	27	12.8
1995	24.7	27	22.6	24.8	28.6	25.5	13
1997	24.7	27.6	22.1	28.7	28.6	24.4	12
1998	24.1	26.4	22	27.9	27.5	25	10.9
1999	23.5	25.7	21.5	27.9	27.3	23.3	10.6
2000	23.3	25.7	21	26.8	27	24	9.7
2001	22.8	25.2	20.7	26.9	25.8	23.8	10.1
2002	22.5	25.2	20	28.5	25.7	22.7	9.3
2003	21.6	24.1	19.2	23.9	25.6	22	9.1
2004	20.9	23.4	18.5	23.6	23.8	22.4	8.8
2005	20.9	23.9	18.1	24.4	24.1	21.9	8.6
2006	20.6	23.6	17.8	23.7	23.2	21.5	10
2007	19.8	22.3	17.4	22.2	22.8	21	8.3
2008	20.6	23.1	18.3	21.4	23.7	22.5	9.3
2009	20.6	23.5	17.9	21.8	24	21.9	9.5
2010	19.3	21.5	17.3	20.1	22	21.1	9.5
2011	19	21.6	16.5	18.9	22.1	21.4	7.9
2012	18.1	20.5	15.8	17.3	21.6	19.5	8.9
2013	17.8	20.5	15.3	18.7	20.1	19.9	8.8
2014	16.8	18.8	14.8	16.7	20	18	8.5
2015	15.1	16.7	13.6	13	17.7	17	8.4
2016	15.5	17.5	13.5	13.1	17.6	18	8.8
2017	14	15.8	12.2	10.4	16.1	16.5	8.2
2018	13.7	15.6	12	7.8	16.5	16.3	8.4
2019	14	15.3	12.7	8	16.7	17	8.2
2020	12.5	14.1	11	7.4	14.1	14.9	9
2021	11.5	13.1	10.1	5.3	12.6	14.9	8.3
2022	11.6	13.2	10	4.9	12.5	15.1	8.7
