ID	Year	Focal.depth	Magnitude	Country	Latitude	Longitude	Tsunami_deaths	Missing	Injuries	Damage..M.	Deaths_total
10	-426	NA	7.1	GREECE	38.9	22.7	NA	NA	NA	NA	2500
27	142	NA	7	GREECE	36.7	28	NA	NA	NA	NA	NA
38	365	70	8	GREECE	35	23	5000	NA	NA	NA	5000
43	543	NA	6.8	TURKEY	40.3	27.8	NA	NA	NA	NA	NA
47	551	NA	7.8	TURKEY	40.8	29.9	NA	NA	NA	NA	NA
48	554	NA	7	GREECE	36.8	27.3	NA	NA	NA	NA	NA
53	684	NA	8.4	JAPAN	32.5	134	NA	NA	NA	NA	NA
54	701	NA	7	JAPAN	35.7	135.4	NA	NA	NA	NA	NA
55	704	NA	7	JAPAN	33.8	136.7	NA	NA	NA	NA	NA
57	744	NA	6.4	JAPAN	32.4	130.5	1520	NA	NA	NA	1520
58	745	NA	6.5	JAPAN	34.6	135.3	NA	NA	NA	NA	NA
59	746	NA	7	SYRIA	32	35.5	NA	NA	NA	NA	NA
74	869	NA	8.6	JAPAN	38.5	143.8	1000	NA	NA	NA	NA
76	887	NA	6.5	JAPAN	37.5	138.1	2000	NA	NA	NA	2000
77	887	NA	8.6	JAPAN	33	135.3	NA	NA	NA	NA	NA
79	922	NA	7	JAPAN	33.8	136.7	NA	NA	NA	NA	NA
83	1026	NA	7.5	JAPAN	34.8	131.8	1001	NA	NA	NA	1001
84	1033	NA	NA	SYRIA	33	35	NA	NA	NA	NA	70000
90	1068	NA	NA	ISRAEL	29.5	34.95	NA	NA	NA	NA	NA
93	1088	NA	7	JAPAN	40.5	143	NA	NA	NA	NA	NA
96	1096	NA	8.4	JAPAN	34	137.5	NA	NA	NA	NA	NA
101	1222	NA	6.6	CYPRUS	34.75	32.4	NA	NA	NA	NA	NA
104	1241	NA	7	JAPAN	35.2	139.4	NA	NA	NA	NA	NA
105	1257	NA	7.5	JAPAN	39	144	NA	NA	NA	NA	NA
106	1257	NA	7	JAPAN	35.2	139.5	NA	NA	NA	NA	NA
111	1303	NA	8	GREECE	35	27	NA	NA	NA	NA	4000
114	1331	NA	7	JAPAN	33.7	135.2	NA	NA	NA	NA	NA
116	1341	NA	7	JAPAN	41	139.5	2600	NA	NA	NA	2600
122	1360	NA	7	JAPAN	33.4	136.2	NA	NA	NA	NA	NA
124	1361	NA	8.4	JAPAN	33	135	660	NA	NA	NA	660
126	1389	NA	6.7	GREECE	38.4	26.3	NA	NA	NA	NA	2
128	1403	NA	7	JAPAN	33.7	136.5	NA	NA	NA	NA	NA
131	1408	NA	7	JAPAN	33.8	136.9	NA	NA	NA	NA	NA
133	1433	NA	7.1	JAPAN	34.9	139.5	NA	NA	NA	NA	NA
136	1448	NA	7	JAPAN	37.5	138.2	NA	NA	NA	NA	NA
137	1481	NA	7.1	GREECE	36	28	NA	NA	NA	NA	NA
142	1495	NA	7.1	JAPAN	35.1	139.5	200	NA	NA	NA	200
146	1498	NA	8.3	JAPAN	34	138.1	5000	NA	NA	NA	5000
152	1509	NA	7.7	TURKEY	40.8	28.1	NA	NA	NA	NA	5000
154	1510	NA	6.7	JAPAN	34.6	135.4	NA	NA	NA	NA	NA
