Year	GDP($T)	Years since 1950
2024	23.4	74
2023	22.96	73
2022	22.25	72
2021	21.96	71
2020	20.77	70
2019	20.99	69
2018	20.3	68
2017	19.88	67
2016	19.3	66
2015	18.89	65
2014	18.5	64
2013	18.02	63
2012	17.49	62
2011	17.22	61
2010	16.96	60
2009	16.5	59
2008	16.49	58
2007	16.92	57
2006	16.56	56
2005	16.14	55
2004	15.67	54
2003	15.16	53
2002	14.54	52
2001	14.25	51
2000	14.23	50
1999	13.83	49
1998	13.19	48
1997	12.58	47
1996	12.04	46
1995	11.53	45
1994	11.28	44
1993	10.83	43
1992	10.56	42
1991	10.12	41
1990	10	40
1989	9.94	39
1988	9.67	38
1987	9.32	37
1986	8.92	36
1985	8.67	35
1984	8.32	34
1983	7.88	33
1982	7.3	32
1981	7.41	31
1980	7.32	30
1979	7.32	29
1978	7.23	28
1977	6.77	27
1976	6.45	26
1975	6.18	25
1974	6.03	24
1973	6.15	23
1972	5.91	22
1971	5.53	21
1970	5.3	20
1969	5.31	19
1968	5.2	18
1967	4.96	17
1966	4.83	16
1965	4.62	15
1964	4.26	14
1963	4.05	13
1962	3.85	12
1961	3.69	11
1960	3.47	10
1959	3.44	9
1958	3.29	8
1957	3.2	7
1956	3.19	6
1955	3.13	5
1954	2.94	4
1953	2.86	3
1952	2.84	2
1951	2.7	1
1950	2.56	0
1949	2.26	-1
1948	2.29	-2
1947	2.21	-3
1946	2.21	-4
1945	2.5	-5
1944	2.52	-6
1943	2.34	-7
1942	2	-8
1941	1.68	-9
1940	1.43	-10
1939	1.31	-11
1938	1.21	-12
1937	1.26	-13
1936	1.2	-14
1935	1.06	-15
1934	0.97	-16
1933	0.88	-17
1932	0.89	-18
1931	1.02	-19
1930	1.09	-20
1929	1.19	-21
