Year	Price	Mileage
2000	26997	117329
2002	29997	109926
2003	33990	58981
2006	22888	75023
2006	22988	66147
2006	22990	87127
2006	19988	84588
2007	29990	39267
2008	25000	92450
2008	23996	70150
2008	23997	77130
2009	26988	59255
2013	56999	31187
2013	44837	40413
2013	45990	56471
2013	49998	34970
2013	48475	64745
2014	56401	29669
2014	64984	28209
2014	53881	50807
2014	53950	40911
2014	56401	26669
2014	58771	26305
2014	63981	30343
2014	47999	49997
2014	57492	37732
2014	58900	31011
2014	49488	60834
2014	54800	40033
2014	44999	70310
2014	53500	29730
2014	58981	36295
2014	58997	26982
2015	69888	15459
2015	65999	24122
2016	75910	10919
