Year	Price	Mileage	Model
1995	11999	98265	840ci
1994	6988	188772	840ci
1997	12990	115716	840ci
1996	9995	178473	840ci
1991	15995	98360	850i
1993	14999	107053	850ci
1992	24995	102148	850i
1991	19750	99530	850i
1991	15900	122000	850i
1991	16988	83695	850i
1991	14999	105430	850i
1993	10999	145783	850ci
1995	16999	93860	840ci
1991	13995	127754	850i
1993	16995	138850	850ci
1994	11500	81800	840ci
1996	7994	185000	840ci
1997	12500	151000	840ci
1992	14788	101005	850i
1995	10995	106689	840ci
1995	12490	128254	840ci
1997	12999	128833	840ci
1991	16995	63000	850i
1995	9988	129927	840ci
1995	12900	87319	840ci
1997	15600	68756	840ci
1997	15995	76143	840ci
1994	19995	115795	840ci
1995	19900	123971	840ci
1991	27000	71790	850i
1993	28900	67830	850ci
1994	15995	162093	840ci
1993	10900	102028	850ci
