Year	Years.Since.1985	Fires	Acreage(millions)	Acres.Fire
1985	0	82591	2896147	35.066
1986	1	85907	2719162	31.652
1987	2	71300	2447296	34.324
1988	3	72750	5009290	68.856
1989	4	48949	1827310	37.331
1990	5	66481	4621621	69.518
1991	6	75754	2953578	38.989
1992	7	87394	2069929	23.685
1993	8	58810	1797574	30.566
1994	9	79107	4073579	51.495
1995	10	82234	1840546	22.382
1996	11	96363	6065998	62.949
1997	12	66196	2856959	43.159
1998	13	81043	1329704	16.407
1999	14	92487	5626093	60.831
2000	15	92250	7393493	80.146
2001	16	84079	3570911	42.471
2002	17	73457	7184712	97.808
2003	18	63629	3960842	62.249
2004	19	65461	8097880	123.705
2005	20	66753	8689389	130.172
2006	21	96385	9873745	102.441
2007	22	85705	9328045	108.839
2008	23	78979	5292468	67.011
2009	24	78792	5921786	75.157
2010	25	71971	3422724	47.557
2011	26	74126	8711367	117.521
2012	27	67774	9326238	137.608
2013	28	47579	4319546	90.787
2014	29	63312	3595613	56.792
2015	30	68151	10125149	148.569
2016	31	67743	5509995	81.337
2017	32	71499	10026086	140.227
2018	33	58083	8767492	150.948
2019	34	50477	4664364	92.406
2020	35	58950	10122336	171.711
2021	36	58985	7125643	120.804
2022	37	68988	7577183	109.833
2023	38	56580	2693910	47.612
2024	39	61685	8851142	143.489
