Athlete	Country	Downhill Time (s)	Slalom Time (s)
Johannes Strolz	AUT	103.87	47.56
Aleksander Aamodt Kilde	NOR	103.12	48.90
James Crawford	CAN	103.14	48.97
Justin Murisier	SUI	104.14	48.15
Marco Schwarz	AUT	104.07	48.64
Barnab‡s Sz?ll?s	ISR	105.04	48.14
Raphael Haaser	AUT	104.63	48.64
Broderick Thompson	CAN	104.39	49.81
Brodie Seger	CAN	103.54	51.49
Christof Innerhofer	ITA	104.19	51.61
Marco Pfiffner	LIE	105.11	51.29
Jack Gower	IRL	105.16	52.58
Arnaud Alessandria	MON	105.79	58.41
Ivan Kovbasnyuk	UKR	109.13	55.30
Albin Tahiri	KOS	112.44	55.85
Zhang Yangming	CHN	115.25	54.47
Xu Mingfu	CHN	115.32	65.08
