SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
Abbotsford Middle/Senior High	Abbotsford	No	18.63	58
Adams-Friendship High	Adams-Friendship Area	No	17.98	90
Albany High	Albany	No	18.32	28
Algoma High	Algoma	No	17.84	44
Alma High	Alma	No	19.09	11
Lincoln Jr/Sr High School	Alma Center	No	19.17	42
Almond-Bancroft High	Almond-Bancroft	No	18.79	26
Altoona High	Altoona	No	20.52	123
Amery High	Amery	No	19.93	99
Antigo High	Antigo Unified	No	18	147
Appleton Technical Academy	Appleton Area	Yes	18.45	23
East High	Appleton Area	No	18.38	291
Fox Cities Leadership Academy	Appleton Area	Yes	22.33	15
North High	Appleton Area	No	20.38	360
Renaissance School	Appleton Area	Yes	23.43	42
Tesla Engineering Charter School	Appleton Area	Yes	23.64	42
Valley New School	Appleton Area	Yes	19.75	10
West High	Appleton Area	No	17.58	247
Wisconsin Connections Academy	Appleton Area	Yes	17.8	55
Arcadia High	Arcadia	No	17.31	88
Argyle High	Argyle	No	19	12
Arrowhead High	Arrowhead UHS	No	22.71	535
Ashland High	Ashland	No	17.84	137
Ashwaubenon High	Ashwaubenon	No	19.64	216
Athens High	Athens	No	18.83	37
Auburndale High	Auburndale	No	18.98	53
Augusta High	Augusta	No	15.26	47
Wildlands Charter School	Augusta	Yes	18.64	12
Baldwin-Woodville High	Baldwin-Woodville Area	No	21.32	110
Bangor Middle/High	Bangor	No	19.51	45
Baraboo High	Baraboo	No	17.9	233
Barneveld High	Barneveld	No	22.36	33
Advanced Learning Academy of Wisconsin	Barron Area	Yes	26	7
Barron High	Barron Area	No	16.69	72
Bayfield High	Bayfield	No	15.39	19
Beaver Dam High	Beaver Dam Unified	No	19.09	255
Pembine High	Beecher-Dunbar-Pembine	No	21.46	14
Belleville High	Belleville	No	20.7	74
Belmont High	Belmont Community	No	18.5	28
Beloit Learning Academy	Beloit	No	13.4	43
Beloit Virtual School	Beloit	No	18	7
Memorial High	Beloit	No	15.72	360
Turner High	Beloit Turner	No	18.82	103
Benton High	Benton	No	20.93	16
Berlin High	Berlin Area	No	17.87	129
Big Foot High	Big Foot UHS	No	19.56	99
Birchwood High	Birchwood	No	17.31	14
Black Hawk High	Black Hawk	No	19.08	28
Black River Falls High	Black River Falls	No	15.34	108
Blair-Taylor Middle/High	Blair-Taylor	No	17.44	42
Bloomer High	Bloomer	No	19.11	89
Bonduel High	Bonduel	No	19.38	58
Boscobel High	Boscobel Area	No	19.44	48
Bowler High	Bowler	No	19.5	14
Boyceville High	Boyceville Community	No	18.95	46
Brillion High	Brillion	No	19.78	77
Brodhead High	Brodhead	No	18.88	79
Brown Deer Middle/High	Brown Deer	No	17.55	143
Bruce High	Bruce	No	16.1	29
Burlington High	Burlington Area	No	19.6	221
Butternut High	Butternut	No	17.33	15
Cadott High	Cadott Community	No	18.56	71
Cambria Friesland Middle/High	Cambria-Friesland	No	19.7	22
Cambridge High	Cambridge	No	21.3	52
Cameron Academy of Virtual Education	Cameron	Yes	19.57	9
Cameron High	Cameron	No	18.91	53
Campbellsport High	Campbellsport	No	19.33	109
Cashton Middle/High	Cashton	No	18.88	50
Cassville High	Cassville	No	19.57	15
Cedar Grove-Belgium High	Cedar Grove-Belgium Area	No	21.34	71
Cedarburg High	Cedarburg	No	23.45	249
Central High	Central/Westosha UHS	No	20.52	323
Chequamegon High	Chequamegon	No	19.75	49
Chetek-Weyerhaeuser High	Chetek-Weyerhaeuser Area	No	20.91	58
Chilton High	Chilton	No	18.65	85
Chippewa Falls High	Chippewa Falls Area Unified	No	19.34	338
Clayton High	Clayton	No	16.72	26
Clear Lake High	Clear Lake	No	17.47	44
Clinton Senior High	Clinton Community	No	18.04	86
Clintonville High	Clintonville	No	18.66	73
Cochrane-Fountain City High	Cochrane-Fountain City	No	18.2	48
Colby High	Colby	No	17.94	73
Coleman High	Coleman	No	18.22	55
Colfax High	Colfax	No	18.22	61
Columbus High	Columbus	No	18.29	80
Cornell High	Cornell	No	19.83	30
Crandon High	Crandon	No	17.45	64
Crivitz High	Crivitz	No	20.31	44
Cuba City High	Cuba City	No	19.32	60
Cudahy High	Cudahy	No	16.19	157
Cumberland High	Cumberland	No	19.41	76
Island City Virtual Academy	Cumberland	Yes	15.5	8
D C Everest High	D C Everest Area	No	19.71	426
D C Everest Idea School	D C Everest Area	Yes	22.6	11
Everest Virtual Academy	D C Everest Area	No	18	6
Darlington High	Darlington Community	No	19.74	61
De Forest High	De Forest Area	No	20.59	257
De Pere High	De Pere	No	22	338
De Soto High	De Soto Area	No	17.24	26
Deerfield High	Deerfield Community	No	19.41	46
Delavan-Darien High	Delavan-Darien	No	17.31	137
Denmark High	Denmark	No	20.03	104
Viking Academy	Denmark	Yes	16.71	7
Dodgeland High	Dodgeland	No	18.62	62
Dodgeville High	Dodgeville	No	19.4	94
Drummond High	Drummond Area	No	19.88	25
Durand Middle/High	Durand-Arkansaw	No	19.16	81
East Troy High	East Troy Community	No	20.65	125
Eau Claire Virtual School	Eau Claire Area	Yes	19.75	17
McKinley Charter School	Eau Claire Area	Yes	19.5	11
Memorial High	Eau Claire Area	No	21.32	349
North High	Eau Claire Area	No	19.29	359
Edgar High	Edgar	No	18.11	53
Edgerton High	Edgerton	No	19.98	122
Elcho High	Elcho	No	15.26	19
Eleva-Strum High	Eleva-Strum	No	20.33	41
Elk Mound High	Elk Mound Area	No	19.47	96
Elkhart Lake High	Elkhart Lake-Glenbeulah	No	22.68	34
Career and College Academy	Elkhorn Area	Yes	14.93	50
Elkhorn Area High	Elkhorn Area	No	20.21	214
Elkhorn Options Virtual School	Elkhorn Area	Yes	19.33	17
Ellsworth High	Ellsworth Community	No	20.57	108
Brookfield Central High	Elmbrook	No	23.48	278
Brookfield East High	Elmbrook	No	23.13	335
Elmwood High	Elmwood	No	21.19	21
Evansville High	Evansville Community	No	19.79	127
Fall Creek High	Fall Creek	No	20.65	52
Fall River High	Fall River	No	18.78	36
Fennimore High	Fennimore Community	No	20.59	56
Flambeau High	Flambeau	No	16.4	40
Florence High	Florence County	No	19.67	31
Fond du Lac High	Fond du Lac	No	19.06	441
Fond du Lac STEM Academy	Fond du Lac	Yes	23	8
Fort Atkinson High	Fort Atkinson	No	19.83	215
Franklin High	Franklin Public	No	21.86	373
Frederic 6-12 School	Frederic	No	17.65	38
Freedom High	Freedom Area	No	19.2	109
Galesville-Ettrick-Trempealeau High	Galesville-Ettrick-Trempealeau	No	18.61	87
Germantown High	Germantown	No	21.78	325
Gibraltar High	Gibraltar Area	No	23.14	36
Gillett High	Gillett	No	18.9	41
eSucceed Charter School	Gilman	Yes	20.83	7
Gilman High	Gilman	No	18.35	18
Gilmanton High	Gilmanton	No	19.33	12
Glenwood City High	Glenwood City	No	20.33	46
Grafton High	Grafton	No	22.33	161
Granton High	Granton Area	No	20.13	18
Grantsburg High	Grantsburg	No	18.21	48
iForward	Grantsburg	Yes	18.02	185
East High	Green Bay Area Public	No	15.84	254
John Dewey Academy of Learning	Green Bay Area Public	Yes	17.25	17
Northeast Wisconsin School of Innovation	Green Bay Area Public	Yes	14.2	25
Preble High	Green Bay Area Public	No	17.56	496
Southwest High	Green Bay Area Public	No	17.91	262
West High	Green Bay Area Public	No	16.28	173
Green Lake High	Green Lake	No	19.42	26
Greendale High	Greendale	No	20.82	230
Greenfield High	Greenfield	No	18.14	263
Greenwood High	Greenwood	No	17.63	19
Gresham High	Gresham	No	17.33	15
Hamilton High	Hamilton	No	22.18	358
Hartford High	Hartford UHS	No	19.7	327
Hayward Ctr for Individualized Learning	Hayward Community	Yes	18.89	22
Hayward High	Hayward Community	No	20.22	112
Highland Community High	Highland	No	17.26	19
Hilbert High	Hilbert	No	19.45	23
Hillsboro High	Hillsboro	No	18.47	38
Holmen High	Holmen	No	20.19	290
Horicon High School	Horicon	No	19.65	67
