Rank	Country	Total Points	Javelin	200m(s)	100m Hurdles(s)	High jump(m)	ShotPut(m)	Long jump(m)	800 m (sec)	200 m z	javelin z
1	Belgium	6880	54.04	24.46	13.56	1.92	15.54	6.41	130.62	0.2668151837	1.9903393755
2	Great Britain	6844	45.49	23.44	13.4	1.92	14.44	6.4	124.9	-1.588763139	-0.036231084
3	Belgium	6707	45	23.86	13.1	1.83	14.57	6.4	126.38	-0.824701477	-0.152373719
4	United States	6615	45.99	23.89	13.3	1.89	14.11	6.28	131.33	-0.770125644	0.0822818081
5	Netherlands	6523	42.46	23.73	13.5	1.86	13.97	6.26	124.39	-1.061196753	-0.754419212
6	Switzerland	6450	48.14	23.88	13.8	1.8	14.02	6.59	133.52	-0.788317588	0.5918872454
7	Poland	6386	36.63	24.2	13.2	1.85	13.5	6.22	137.55	-0.206175369	-2.136279537
8	Netherlands	6300	52.39	24.35	13.7	1.8	14.54	6.1	128.67	0.0667037959	1.5992468307
9	Germany	6250	46.45	23.85	13.9	1.77	14.02	6.15	126.27	-0.842893421	0.1913136691
10	Great Britain	6200	44.05	24.97	13.6	1.8	13.5	6.33	132.12	1.1946043451	-0.377548214
11	United States	6150	38.76	24.02	13.1	1.77	13	6.15	133.95	-0.533630367	-1.631414616
12	Hungary	6100	49.52	24.92	13.5	1.8	13.5	6.03	132.06	1.1036446234	0.9189828284
13	Finland	6050	47	24.74	13.8	1.75	14.19	5.85	128.84	0.7761896252	0.3216778508
14	Ireland	6000	50.36	24.77	13.9	1.76	13	5.79	133.25	0.8307654582	1.1180844876
15	Colombia	5950	45.67	24.46	14	1.7	14.15	5.88	134.36	0.2668151837	0.006433557
16	Australia	5900	44.77	24.76	14.1	1.8	13.5	5.78	129.45	0.8125735139	-0.206889649
17	Italy	5850	39.68	23.58	14.2	1.75	13	6.08	136.78	-1.334075918	-1.413350894
18	France	5800	45.37	23.87	14.3	1.7	12.5	5.9	130.1	-0.806509532	-0.064674178
19	Hungary	5750	43.64	25.61	14.4	1.68	13	5.88	144.63	2.3588887829	-0.474728786
20	Australia	5700	48.79	24.73	14.5	1.65	12	5.78	140.97	0.7579976809	0.7459540055
21	United States	5650	44.3	24.49	14.6	1.6	13.5	5.9	135.76	0.3213910167	-0.318291768
