country	MenYrsEduc_2015	WomenYrsEduc_2015	YrsEducWomenPctMen_2015	CellsPer100_2022	ChildMortalityPer1000_2022	Gini_2022	InternetPct_2022	LFParticipation_2019	LifeExp_2022	HHPerCapIncome_2022	VaccineRate_2022	WaterAccessPct_2022
Afghanistan	5.27	2.13	23.7	NA	54.2	39.5	NA	50.5	62.6	3.17	69	82.2
Albania	11.2	11.7	103	97.9	8.19	35	82.6	69.6	76.1	16.3	99	95.1
Algeria	9.42	10.3	90.8	109	20.9	29.2	71.2	46.4	76.8	9.29	98	94.7
Angola	6.14	6	73.3	67.4	68.6	53.8	39.3	77.9	64.5	4.71	60	57.7
Argentina	11.7	12.8	108	132	8.94	45.3	88.4	69.4	75.4	22.1	94	NA
Armenia	11.6	12.3	105	135	11.2	31.7	77	61.5	73.7	8.79	98	100
Australia	14.7	15.1	103	107	3.33	34.4	94.9	78.5	83.4	67.2	NA	100
Austria	11.9	12.4	101	123	2.87	32.7	93.6	76.9	82.7	71.8	NA	100
Azerbaijan	12.3	12.6	101	107	19.5	28.8	88	72	71.4	20	96	97.6
Bahamas	12.7	13.8	107	98.5	9.26	44	94.4	81.5	76.6	33.8	NA	NA
Bahrain	10.3	11.2	108	145	6.34	36.9	100	75.1	76.3	53.2	NA	99.9
Bangladesh	7.13	7.02	77.9	105	25.4	34.5	41.6	61.5	75.5	4.94	99	98.1
Barbados	11.2	12.6	108	115	11.2	43.9	76.2	77.7	76.6	15.2	NA	98.5
Belarus	12.6	13.1	105	123	3.04	27.1	89.5	78.1	73	19.2	98	99.2
Belgium	13.2	14	104	102	3.15	29.2	94	69.1	81.9	63.7	NA	100
Belize	9.84	10.4	99.9	NA	11.8	53	70.4	67.7	71.5	9.27	92	98.4
Benin	6.55	4.32	48.8	109	84.5	50.2	33.8	71.7	64	5.26	89	67.4
Bhutan	7.51	4.25	48.7	94.9	25.3	37.3	86.8	70	74	15.8	99	99.1
Bolivia	10.8	10.7	91.5	NA	23.9	43.5	73.3	74.2	68.9	19.9	76	94.1
Bosnia and Herzegovina	11	11.2	99.8	118	5.18	34.4	78.8	57.7	75	32.4	96	96.1
Botswana	8.4	10.5	114	165	33.3	54.6	77.3	73	62.7	10	98	92.6
Brazil	8.21	9.61	113	98.9	12.7	57.1	80.5	70.9	73.9	19.6	88	99.6
Brunei	15.2	15.6	99.7	118	10.5	35	99	68.5	74.2	61.2	99	99.9
Bulgaria	11.4	11.8	107	117	6.19	43.4	79.1	73.4	69.9	36.8	96	99.1
Burkina Faso	3.76	2.74	60.6	NA	66.5	37.3	19.9	67.8	61.4	4.5	98	49.5
Burundi	5.56	4.91	77.9	58	52.3	42.7	11.3	80	63.5	1.97	94	62.4
Cambodia	7.52	6.98	78.1	116	24	41.4	56.7	84.9	69.1	5.92	95	78
Cameroon	8.67	7.96	80.3	82.8	68.7	48.9	43.9	76.9	62.7	6.08	71	69.6
Canada	14.3	14.6	102	91.2	4.76	35.5	94	79	82.7	65.4	NA	99.2
Cape Verde	8.14	8.45	88.2	99.2	16.9	42.4	72.1	63.9	72.5	10.9	98	89.9
Central African Republic	6.79	4.94	59.6	NA	104	60.5	NA	72.5	51.8	2.19	61	36.3
Chad	5.08	2.66	34	68.2	110	45.6	12.2	70.7	60.1	3.45	92	52
Chile	12.7	13.5	104	135	6.5	46.6	90.7	68.9	79.3	28.7	99	100
China	11.2	11.3	89.2	125	7.61	39.1	75.6	75.9	78.2	15.2	99	97.6
Colombia	10.1	11.2	107	156	12.8	53.7	72.8	72.9	77	15.1	88	97.5
Comoros	7.38	7.19	80.3	100	62.3	45.1	NA	46.6	68.3	6.55	85	NA
Congo, Dem. Rep.	7.81	6.58	70	50.3	81.4	45.8	27.2	64.1	64.5	2.55	77	35.1
Congo, Rep.	8.97	8.7	86.3	NA	45.4	51.4	36.2	70.3	65.8	2.99	78	NA
Costa Rica	9.93	11.1	109	152	7.75	50	82.6	71.2	78	24.5	95	99.8
Cote d'Ivoire	6.59	4.75	60.5	174	73.8	43.6	38.4	54.6	63.8	6.34	85	72.9
Croatia	10.5	11.1	107	111	4.19	31.6	82.1	67	79.2	38.3	97	NA
Cuba	12.6	13.3	106	67.8	4.66	44.7	73.2	64.3	79.2	11.1	99	94.7
Cyprus	13.3	14.2	104	NA	2.09	32.7	89.6	74.8	81.3	58.5	NA	99.8
Czech Republic	12.6	13	103	128	3.04	27.2	84.5	76.9	78.3	43.2	97	99.9
