Age	Life Expectancy	Males	Females
0	76.48	73.54	79.3
1	75.89	72.97	78.7
2	74.93	72	77.74
3	73.94	71.02	76.75
4	72.96	70.04	75.77
5	71.97	69.05	74.78
6	70.98	68.06	73.79
7	69.99	67.07	72.79
8	69.00	66.08	71.8
9	68.01	65.09	70.81
10	67.02	64.1	69.82
11	66.02	63.1	68.82
12	65.03	62.11	67.83
13	64.04	61.12	66.84
14	63.05	60.14	65.85
15	62.07	59.16	64.86
16	61.09	58.18	63.88
17	60.12	57.22	62.9
18	59.15	56.27	61.92
19	58.19	55.33	60.94
20	57.24	54.4	59.97
21	56.29	53.47	59
22	55.34	52.55	58.03
23	54.41	51.64	57.07
24	53.47	50.72	56.11
25	52.54	49.82	55.15
26	51.60	48.91	54.19
27	50.67	48.01	53.23
28	49.75	47.12	52.28
29	48.83	46.23	51.33
30	47.91	45.34	50.38
31	47.00	44.46	49.44
32	46.08	43.57	48.5
33	45.17	42.69	47.56
34	44.27	41.82	46.62
35	43.36	40.94	45.69
36	42.46	40.06	44.76
37	41.56	39.19	43.83
38	40.66	38.32	42.91
39	39.76	37.45	41.98
40	38.87	36.58	41.07
41	37.98	35.72	40.15
42	37.09	34.86	39.24
43	36.21	34	38.33
44	35.33	33.15	37.42
45	34.45	32.3	36.52
46	33.58	31.45	35.62
47	32.71	30.61	34.73
48	31.85	29.77	33.84
49	30.99	28.94	32.95
50	30.13	28.12	32.07
51	29.29	27.3	31.2
52	28.45	26.5	30.33
53	27.62	25.7	29.47
54	26.80	24.91	28.62
55	25.99	24.14	27.77
56	25.19	23.37	26.93
57	24.39	22.61	26.1
58	23.60	21.87	25.27
59	22.83	21.13	24.46
60	22.06	20.41	23.65
61	21.31	19.7	22.86
62	20.57	19	22.07
63	19.83	18.31	21.29
64	19.10	17.63	20.52
65	18.38	16.95	19.75
66	17.67	16.29	18.99
67	16.96	15.63	18.23
68	16.26	14.98	17.48
69	15.56	14.33	16.74
70	14.87	13.69	16
71	14.19	13.06	15.27
72	13.52	12.43	14.56
73	12.86	11.82	13.85
74	12.20	11.21	13.16
75	11.57	10.62	12.49
76	10.96	10.05	11.83
77	10.36	9.49	11.19
78	9.78	8.95	10.57
79	9.21	8.42	9.96
80	8.66	7.92	9.38
81	8.13	7.43	8.81
82	7.62	6.96	8.26
83	7.13	6.5	7.73
84	6.65	6.07	7.21
85	6.20	5.65	6.72
86	5.77	5.26	6.26
87	5.36	4.88	5.82
88	4.98	4.53	5.41
89	4.62	4.21	5.02
90	4.28	3.9	4.65
91	3.97	3.62	4.31
92	3.68	3.36	3.99
93	3.43	3.14	3.71
94	3.20	2.94	3.45
95	2.99	2.76	3.22
96	2.81	2.6	3.01
97	2.64	2.45	2.82
98	2.49	2.32	2.66
99	2.35	2.2	2.5
100	2.22	2.09	2.35
101	2.10	1.98	2.21
102	1.98	1.87	2.08
103	1.86	1.77	1.95
104	1.75	1.67	1.82
105	1.65	1.58	1.71
106	1.54	1.49	1.59
107	1.45	1.4	1.49
108	1.36	1.32	1.39
109	1.27	1.24	1.29
110	1.18	1.16	1.2
111	1.10	1.09	1.11
112	1.02	1.01	1.03
113	0.95	0.95	0.95
114	0.88	0.88	0.88
115	0.82	0.82	0.82
116	0.76	0.76	0.76
117	0.70	0.7	0.7
118	0.65	0.65	0.65
119	0.60	0.6	0.6
