"Dataset.Name","Cases","Variables","Categorical.Variables","Quantitative.Variables","Topics","Data.Link","Documentation.Link"
"A-Rod",23,2,0,2,"stem-and-leaf plot; scatterplot","[Link to A-Rod data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/A-Rod/A-Rod.txt)","[Link to A-Rod documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/A-Rod/readme.md)"
"Acid_rain",26,2,1,1,"histogram; stem-and-leaf plot","[Link to Acid_rain data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Acid_rain/Acid_rain.txt)","[Link to Acid_rain documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Acid_rain/readme.md)"
"Adoptions",51,4,1,3,"histograms; re-expression","[Link to Adoptions data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Adoptions/Adoptions.txt)","[Link to Adoptions documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Adoptions/readme.md)"
"AI_in_healthcare",13542,2,2,0,"contingency table; mosaic plot; bar plot","[Link to AI_in_healthcare data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/AI_in_healthcare/AI_in_healthcare.txt)","[Link to AI_in_healthcare documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/AI_in_healthcare/readme.md)"
"Alcohol_Consumption_2024",53,4,0,4,"histogram; scatterplot","[Link to Alcohol_Consumption_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Alcohol_Consumption_2024/Alcohol_Consumption_2024.txt)","[Link to Alcohol_Consumption_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Alcohol_Consumption_2024/readme.md)"
"ATUS_2024",7669,18,9,8,"boxplots","[Link to ATUS_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/ATUS_2024/ATUS_2024.txt)","[Link to ATUS_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/ATUS_2024/readme.md)"
"Baseball_2024",30,38,3,35,"histogram; scatterplot; regression","[Link to Baseball_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Baseball_2024/Baseball_2024.txt)","[Link to Baseball_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Baseball_2024/readme.md)"
"Bird_Species_2013",20,1,0,1,"stem-and-leaf plot; histogram","[Link to Bird_Species_2013 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Bird_Species_2013/Bird_Species_2013.txt)","[Link to Bird_Species_2013 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Bird_Species_2013/readme.md)"
"Blood_Pressure",474,2,2,0,"contingency table; bar plot; mosaic plot","[Link to Blood_Pressure data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Blood_Pressure/Blood_Pressure.txt)","[Link to Blood_Pressure documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Blood_Pressure/readme.md)"
"Boomtowns_2020",422,4,2,2,"histogram; summarizing quantitative data","[Link to Boomtowns_2020 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Boomtowns_2020/Boomtowns_2020.txt)","[Link to Boomtowns_2020 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Boomtowns_2020/readme.md)"
"Brewpubs_2024",31,2,0,2,"histogram; timeplot; summarizing quantitative data","[Link to Brewpubs_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Brewpubs_2024/Brewpubs_2024.txt)","[Link to Brewpubs_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Brewpubs_2024/readme.md)"
"Car_speeds_100",100,1,0,1,"histogram; summarizing quantitative data; one-sample t-test","[Link to Car_speeds_100 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Car_speeds_100/Car_speeds_100.txt)","[Link to Car_speeds_100 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Car_speeds_100/readme.md)"
"CEO_Compensation_2024",490,6,2,3,"re-expression; histogram; summarizing quantitative data","[Link to CEO_Compensation_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/CEO_Compensation_2024/CEO_Compensation_2024.txt)","[Link to CEO_Compensation_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/CEO_Compensation_2024/readme.md)"
"Cereals",77,15,2,12,"boxplots; scatterplot; regression","[Link to Cereals data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cereals/Cereals.txt)","[Link to Cereals documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cereals/readme.md)"
"Cholesterol_and_smoking",43,2,0,2,"boxplots; comparing groups","[Link to Cholesterol_and_smoking data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cholesterol_and_smoking/Cholesterol_and_smoking.txt)","[Link to Cholesterol_and_smoking documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cholesterol_and_smoking/readme.md)"
"Cloud_seeding",26,2,0,2,"histogram; boxplots; comparing distributions","[Link to Cloud_seeding data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cloud_seeding/Cloud_seeding.txt)","[Link to Cloud_seeding documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cloud_seeding/readme.md)"
"Coasters_2026",6181,11,3,8,"scatterplots; regression","[Link to Coasters_2026 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Coasters_2026/Coasters_2026.txt)","[Link to Coasters_2026 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Coasters_2026/readme.md)"
"COLall_2025",331,4,1,3,"comparing groups; boxplots","[Link to COLall_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/COLall_2025/COLall_2025.txt)","[Link to COLall_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/COLall_2025/readme.md)"
"Commute_times",5000,1,0,1,"histogram; one-sample t-interval","[Link to Commute_times data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Commute_times/Commute_times.txt)","[Link to Commute_times documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Commute_times/readme.md)"
"Companies",79,9,2,7,"reexpression; multiple regression; indicator variables","[Link to Companies data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Companies/Companies.txt)","[Link to Companies documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Companies/readme.md)"
"Cost_of_living_2025",327,8,1,7,"histogram; regression","[Link to Cost_of_living_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cost_of_living_2025/Cost_of_living_2025.txt)","[Link to Cost_of_living_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cost_of_living_2025/readme.md)"
"Cost_of_living_cities_2025",331,4,1,3,"comparing groups; box plots","[Link to Cost_of_living_cities_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cost_of_living_cities_2025/Cost_of_living_cities_2025.txt)","[Link to Cost_of_living_cities_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cost_of_living_cities_2025/readme.md)"
"Cost_of_living_countries_2025",96,4,1,3,"","[Link to Cost_of_living_countries_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cost_of_living_countries_2025/Cost_of_living_countries_2025.txt)","[Link to Cost_of_living_countries_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cost_of_living_countries_2025/readme.md)"
"Counting_birds",20,1,0,1,"histogram; stem-and-leaf plot","[Link to Counting_birds data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Counting_birds/Counting_birds.txt)","[Link to Counting_birds documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Counting_birds/readme.md)"
"COVID_blood_type_and_age",4,6,1,5,"contingency table; bar plot; mosaic plot","[Link to COVID_blood_type_and_age data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/COVID_blood_type_and_age/COVID_blood_type_and_age.txt)","[Link to COVID_blood_type_and_age documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/COVID_blood_type_and_age/readme.md)"
